scope,version,comparison,first,second,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable
POOLED_DEDUP,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,3276,1026,20.7114,0.8757,19.8357,FAVORABLE,-14.36,-15.61,1.25,FAVORABLE,22.0391,9.9415,12.0976,FAVORABLE,9.3712,3.8012,5.57,FAVORABLE,1.1905,5.9454,-4.7549,FAVORABLE,0.2442,3.1189,-2.8747,FAVORABLE,0.0916,2.4366,-2.345,FAVORABLE,18.4029,15.459,-16.2205,-4.062,0.6142,0.1142,7,0
POOLED_DEDUP,ALL,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,3276,284,20.7114,6.2064,14.505,FAVORABLE,-14.36,-15.425,1.065,FAVORABLE,22.0391,11.6197,10.4194,FAVORABLE,9.3712,5.2817,4.0895,FAVORABLE,1.1905,8.0986,-6.9081,FAVORABLE,0.2442,5.2817,-5.0375,FAVORABLE,0.0916,4.5775,-4.4859,FAVORABLE,13.1761,12.2784,-11.2525,-5.8191,0.6007,0.1007,7,0
POOLED_DEDUP,ALL,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,3276,742,20.7114,-1.1647,21.8761,FAVORABLE,-14.36,-15.64,1.28,FAVORABLE,22.0391,9.2992,12.7399,FAVORABLE,9.3712,3.2345,6.1367,FAVORABLE,1.1905,5.1213,-3.9308,FAVORABLE,0.2442,2.2911,-2.0469,FAVORABLE,0.0916,1.6173,-1.5257,FAVORABLE,20.4034,16.6765,-18.122,-3.3895,0.6194,0.1194,7,0
POOLED_DEDUP,ALL,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,284,742,6.2064,-1.1647,7.3711,FAVORABLE,-15.425,-15.64,0.215,FAVORABLE,11.6197,9.2992,2.3205,FAVORABLE,5.2817,3.2345,2.0472,FAVORABLE,8.0986,5.1213,2.9773,UNFAVORABLE,5.2817,2.2911,2.9906,UNFAVORABLE,4.5775,1.6173,2.9602,UNFAVORABLE,7.2273,4.3981,-6.8695,2.4296,0.5155,0.0155,4,3
POOLED_DEDUP,CLOSED_ONLY,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,3244,871,19.6303,-0.4543,20.0846,FAVORABLE,-14.44,-15.62,1.18,FAVORABLE,21.6091,9.5293,12.0798,FAVORABLE,9.0629,3.5591,5.5038,FAVORABLE,1.2022,0.5741,0.6281,UNFAVORABLE,0.2466,0.0,0.2466,UNFAVORABLE,0.0925,0.0,0.0925,UNFAVORABLE,20.5178,15.7456,-17.96,0.524,0.6077,0.1077,4,3
POOLED_DEDUP,CLOSED_ONLY,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,3244,230,19.6303,1.9701,17.6602,FAVORABLE,-14.44,-15.425,0.985,FAVORABLE,21.6091,10.8696,10.7395,FAVORABLE,9.0629,4.7826,4.2803,FAVORABLE,1.2022,1.3043,-0.1021,FAVORABLE,0.2466,0.0,0.2466,UNFAVORABLE,0.0925,0.0,0.0925,UNFAVORABLE,14.662,13.3211,-12.2959,0.524,0.5881,0.0881,5,2
POOLED_DEDUP,CLOSED_ONLY,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,3244,641,19.6303,-1.3243,20.9546,FAVORABLE,-14.44,-15.66,1.22,FAVORABLE,21.6091,9.0484,12.5607,FAVORABLE,9.0629,3.1201,5.9428,FAVORABLE,1.2022,0.312,0.8902,UNFAVORABLE,0.2466,0.0,0.2466,UNFAVORABLE,0.0925,0.0,0.0925,UNFAVORABLE,22.619,16.6156,-19.9924,0.524,0.6147,0.1147,4,3
POOLED_DEDUP,CLOSED_ONLY,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,230,641,1.9701,-1.3243,3.2944,FAVORABLE,-15.425,-15.66,0.235,FAVORABLE,10.8696,9.0484,1.8212,FAVORABLE,4.7826,3.1201,1.6625,FAVORABLE,1.3043,0.312,0.9923,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,7.957,3.2945,-7.6965,0.0,0.5278,0.0278,4,1
WINDOW_P1,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,3035,967,20.0083,0.6627,19.3456,FAVORABLE,-14.52,-15.64,1.12,FAVORABLE,21.6145,9.8242,11.7903,FAVORABLE,9.2586,3.9297,5.3289,FAVORABLE,1.2521,6.2048,-4.9527,FAVORABLE,0.2965,3.3092,-3.0127,FAVORABLE,0.1318,2.7921,-2.6603,FAVORABLE,17.7855,14.8321,-15.618,-4.1969,0.6104,0.1104,7,0
WINDOW_P1,ALL,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,3035,265,20.0083,5.5125,14.4958,FAVORABLE,-14.52,-15.6,1.08,FAVORABLE,21.6145,10.9434,10.6711,FAVORABLE,9.2586,5.283,3.9756,FAVORABLE,1.2521,8.3019,-7.0498,FAVORABLE,0.2965,5.283,-4.9865,FAVORABLE,0.1318,4.9057,-4.7739,FAVORABLE,13.1597,12.6698,-11.787,-5.855,0.6037,0.1037,7,0
