interpretation,comparison,group,reference,extreme_contrast,feature,feature_kind,level,n_group_rows,n_reference_rows,group_n,group_mean,group_median,group_q25,group_q75,reference_n,reference_mean,reference_median,reference_q25,reference_q75,median_difference,mean_difference,auc,effect,effect_unit,direction,grade,window_signs_P1_P21_P22_P31_P32,disjoint_signs_pre2021_from2021,qualifying_windows,windows_same_sign,disjoint_evaluable,disjoint_same_sign,group_share_pct,reference_share_pct,group_level_count,reference_level_count
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,days_to_first_progressed,numeric,,830,4550,824,244.915,169.0,118.25,267.0,3478,683.937,326.0,137.0,1010.75,-157.0,-439.022,0.3314,-0.1686,AUC-0.5,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,holding_days,numeric,,830,4550,830,464.8735,211.0,130.0,577.75,4550,170.6303,70.0,26.0,160.0,141.0,294.2432,0.7948,0.2948,AUC-0.5,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,mfe,numeric,,830,4550,830,195.9183,132.985,96.0225,203.5175,4550,29.9689,15.185,4.6725,40.4,117.8,165.9494,0.9639,0.4639,AUC-0.5,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,mae,numeric,,830,4550,830,-12.164,-9.18,-14.09,-4.215,4550,-18.2434,-17.07,-19.03,-15.8125,7.89,6.0794,0.793,0.293,AUC-0.5,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,peak_giveback,numeric,,830,4550,830,79.2228,34.16,14.465,76.2325,4550,39.4822,28.57,20.06,45.32,5.59,39.7406,0.5228,0.0228,AUC-0.5,HIGHER_IN_GROUP,WEAK,+----,+-,5,1,True,1,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,profit_capture,numeric,,830,4550,830,0.6967,0.7281,0.5571,0.8681,4458,-4.3929,-1.0448,-3.2612,-0.2942,1.7729,5.0896,0.9686,0.4686,AUC-0.5,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,,,,
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,lifecycle_class,categorical,NEVER_PROGRESSED,830,4550,830,,,,,4550,,,,,,,,-22.8375,share_pp,LOWER_IN_GROUP,CONSISTENT,-----,--,5,5,True,2,0.7229,23.5604,6.0,1072.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,lifecycle_class,categorical,NORMAL_EARLY_TREND_HANDOFF,830,4550,830,,,,,4550,,,,,,,,30.8561,share_pp,HIGHER_IN_GROUP,CONSISTENT,+++++,++,5,5,True,2,86.988,56.1319,722.0,2554.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,lifecycle_class,categorical,PROGRESSED_WITHOUT_DIRECT_HANDOFF,830,4550,830,,,,,4550,,,,,,,,-6.478,share_pp,LOWER_IN_GROUP,MIXED,-+-++,--,5,2,True,2,8.3133,14.7912,69.0,673.0
DESCRIPTIVE_ONLY_POST_ENTRY_OUTCOME_CONTAMINATED,WIN_50_vs_REST,WIN_50,NOT_WIN_50,False,lifecycle_class,categorical,SKIPPED_EARLY_TREND_HANDOFF,830,4550,830,,,,,4550,,,,,,,,-1.5406,share_pp,LOWER_IN_GROUP,WEAK,---+-,--,5,4,True,2,3.9759,5.5165,33.0,251.0
