ticker,name,market,isu_cd,identity_effective_from,identity_effective_to,repository_status,repository_reason,row_count,first_daily_date,last_daily_date,evaluation_status,pattern_b_state,reason_codes,reason_details,range_36m,monthly_ma24_distance,range_52w,monthly_last_bar,weekly_last_bar,feature_contract_version,state_rule_version,error,prior_same_isu_segment,stale_monthly_bar,stale_weekly_bar
000020,동화약품,KOSPI,KR7000020008,2010-01-04,2026-09-21,LOADED,,4116,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.11568938193343899,-0.16530146367664822,0.19935691318327975,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000040,KR모터스,KOSPI,KR7000040006,2010-01-04,2026-09-21,LOADED,,4060,2010-01-04,2026-09-21,READY,DEEP_DEPRESSED,,,0.03981950601646612,-0.3313560781462276,0.07034684904738642,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000050,경방,KOSPI,KR7000050005,2010-01-04,2026-09-21,LOADED,,4018,2010-01-04,2026-09-21,READY,NORMAL,,,0.2707240293809024,0.08737864077669899,0.21087680355160932,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000070,삼양홀딩스,KOSPI,KR7000070003,2010-01-04,2026-09-21,LOADED,,4071,2010-01-04,2026-09-21,READY,NORMAL,,,0.6199632547252913,0.09657682846016291,0.29583333333333334,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000080,하이트진로,KOSPI,KR7000080002,2010-01-04,2026-09-21,LOADED,,4116,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.1778697001034126,-0.16012152582423755,0.20840950639853748,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000100,유한양행,KOSPI,KR7000100008,2010-01-04,2026-09-21,LOADED,,3802,2010-01-04,2026-09-21,READY,NORMAL,,,0.2724538069379225,-0.2330775398007101,0.17133956386292834,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000120,CJ대한통운,KOSPI,KR7000120006,2010-01-04,2026-09-21,LOADED,,4116,2010-01-04,2026-09-21,READY,DEEP_DEPRESSED,,,0.04846335697399527,-0.17214191852825222,0.018912529550827423,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000140,하이트진로홀딩스,KOSPI,KR7000140004,2010-01-04,2026-09-21,LOADED,,4116,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.1552346570397112,-0.11695564062148167,0.1762820512820513,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000150,두산,KOSPI,KR7000150003,2010-01-04,2026-09-21,LOADED,,3999,2010-01-04,2026-09-21,READY,NORMAL,,,0.49273863213207003,0.6732632276227539,0.47127605490594815,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000180,성창기업지주,KOSPI,KR7000180000,2010-01-04,2026-09-21,LOADED,,4087,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.11727966689798751,-0.2503799958274968,0.12474226804123711,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
0001A0,덕양에너젠,KOSDAQ,KR70001A0001,2026-01-30,2026-09-21,LOADED,,157,2026-01-30,2026-09-21,UNAVAILABLE,,36M_RANGE_POSITION:INSUFFICIENT_BARS|MONTHLY_MA24_DISTANCE:INSUFFICIENT_BARS|52W_RANGE_POSITION:INSUFFICIENT_BARS,"36M_RANGE_POSITION: need 36 bars, have 8|MONTHLY_MA24_DISTANCE: need 24 bars, have 8|52W_RANGE_POSITION: need 52 bars, have 34",,,,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000210,DL,KOSPI,KR7000210005,2010-01-04,2026-09-21,LOADED,,4030,2010-01-04,2026-09-21,READY,NORMAL,,,0.45180722891566266,0.1767681681097384,0.4794520547945205,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000220,유유제약,KOSPI,KR7000220004,2010-01-04,2026-09-21,LOADED,,4018,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.1262135922330097,-0.113078625733808,0.27808988764044945,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000230,일동홀딩스,KOSPI,KR7000230003,2010-01-04,2026-09-21,LOADED,,3897,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.09556313993174062,-0.2290240563270095,0.04692832764505119,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000240,한국앤컴퍼니,KOSPI,KR7000240002,2010-01-04,2026-09-21,LOADED,,4075,2010-01-04,2026-09-21,READY,NORMAL,,,0.5444015444015444,0.12356136285942187,0.21476510067114093,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000250,삼천당제약,KOSDAQ,KR7000250001,2010-01-04,2026-09-21,LOADED,,4116,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.09121160409556314,-0.3523521753805108,0.03656783468104223,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000270,기아,KOSPI,KR7000270009,2010-01-04,2026-09-21,LOADED,,4116,2010-01-04,2026-09-21,READY,NORMAL,,,0.39941046425939575,0.1072761851095303,0.192,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000300,DH오토넥스,KOSPI,KR7000300004,2010-01-04,2026-09-21,LOADED,,3463,2010-01-04,2024-02-23,READY,DEPRESSED,,,0.05632632184642926,-0.7068148105058026,0.0850345060566575,2024-02-29,2024-02-23,V01,PATTERN_B_STATE_RULE_V02,,False,True,True
000320,노루홀딩스,KOSPI,KR7000320002,2010-01-04,2026-09-21,LOADED,,4114,2010-01-04,2026-09-21,READY,NORMAL,,,0.26591760299625467,-0.07849829351535831,0.12134146341463414,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000370,한화손해보험,KOSPI,KR7000370007,2010-01-04,2026-09-21,LOADED,,3977,2010-01-04,2026-09-21,READY,OVERHEATED,,,0.6662011173184358,0.5407045532613257,0.5304347826086957,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000390,SP삼화,KOSPI,KR7000390005,2010-01-04,2026-09-21,LOADED,,4116,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.16666666666666666,0.0026187803965582734,0.20833333333333334,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000400,롯데손해보험,KOSPI,KR7000400002,2010-01-04,2026-09-21,LOADED,,4033,2010-01-04,2026-09-21,READY,NORMAL,,,0.21814671814671815,0.06331395224098335,0.2869718309859155,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000430,대원강업,KOSPI,KR7000430009,2010-01-04,2026-09-21,LOADED,,4116,2010-01-04,2026-09-21,READY,NORMAL,,,0.3424657534246575,0.10724607219799287,0.5751633986928104,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000440,중앙에너비스,KOSDAQ,KR7000440008,2010-01-04,2026-09-21,LOADED,,4054,2010-01-04,2026-09-21,READY,DEEP_DEPRESSED,,,0.014908684308609765,-0.28110599078341014,0.060752888557584796,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000480,CR홀딩스,KOSPI,KR7000480004,2010-01-04,2026-09-21,LOADED,,4074,2010-01-04,2026-09-21,READY,DEEP_DEPRESSED,,,0.016227180527383367,-0.11890838206627685,0.08304498269896193,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000490,대동,KOSPI,KR7000490003,2010-01-04,2026-09-21,LOADED,,4100,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.15851272015655576,-0.1794694248496126,0.2913096695226438,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
0004V0,엔비알모션,KOSDAQ,KR70004V0003,2026-01-14,2026-09-21,LOADED,,169,2026-01-14,2026-09-21,UNAVAILABLE,,36M_RANGE_POSITION:INSUFFICIENT_BARS|MONTHLY_MA24_DISTANCE:INSUFFICIENT_BARS|52W_RANGE_POSITION:INSUFFICIENT_BARS,"36M_RANGE_POSITION: need 36 bars, have 8|MONTHLY_MA24_DISTANCE: need 24 bars, have 8|52W_RANGE_POSITION: need 52 bars, have 36",,,,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000500,가온전선,KOSPI,KR7000500009,2010-01-04,2026-09-21,LOADED,,4114,2010-01-04,2026-09-21,READY,OVERHEATED,,,0.5852193378490983,2.182471150962161,0.9046444870856005,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000520,삼일제약,KOSPI,KR7000520007,2010-01-04,2026-09-21,LOADED,,3935,2010-01-04,2026-09-21,READY,DEEP_DEPRESSED,,,0.04642857142857143,-0.4173377546186642,0.30842391304347827,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000540,흥국화재,KOSPI,KR7000540005,2010-01-04,2026-09-21,LOADED,,4115,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.1468682505399568,-0.061586176340274634,0.13882863340563992,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000590,CS홀딩스,KOSPI,KR7000590000,2010-01-04,2026-09-21,LOADED,,4093,2010-01-27,2026-09-21,READY,NORMAL,,,0.26394849785407726,-0.10598318773693749,0.20521172638436483,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000640,동아쏘시오홀딩스,KOSPI,KR7000640003,2010-01-04,2026-09-21,LOADED,,4076,2010-01-04,2026-09-21,READY,NORMAL,,,0.4157258319792348,-0.07641210942686327,0.4030641315128622,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000650,천일고속,KOSPI,KR7000650002,2010-01-04,2026-09-21,LOADED,,4094,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.24664325552571784,0.32952697575253853,0.22194513715710723,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000660,SK하이닉스,KOSPI,KR7000660001,2010-01-04,2026-09-21,LOADED,,4116,2010-01-04,2026-09-21,READY,NORMAL,,,0.543256687654364,1.3609609327253067,0.5712132629992465,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000670,영풍,KOSPI,KR7000670000,2010-01-04,2026-09-21,LOADED,,4107,2010-01-04,2026-09-21,READY,NORMAL,,,0.29982604100147536,-0.11778490493213367,0.4142461455499179,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000680,LS네트웍스,KOSPI,KR7000680009,2010-01-04,2026-09-21,LOADED,,4095,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.1395112016293279,-0.09104046242774566,0.1600831600831601,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000700,유수홀딩스,KOSPI,KR7000700005,2010-01-04,2026-09-21,LOADED,,4009,2010-01-04,2026-09-21,READY,OVERHEATED,,,0.732739420935412,0.1514138256887403,0.740909090909091,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000720,현대건설,KOSPI,KR7000720003,2010-01-04,2026-09-21,LOADED,,4049,2010-01-04,2026-09-21,READY,OVERHEATED,,,0.5691336775674125,0.6105804555473917,0.4954954954954955,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000760,이화산업,KOSPI,KR7000760009,2010-01-04,2026-09-21,LOADED,,4103,2010-01-04,2026-09-21,READY,NORMAL,,,0.30626162430254183,0.0955488458166942,0.15803631472763954,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
0007C0,아크릴,KOSDAQ,KR70007C0003,2025-12-16,2026-09-21,LOADED,,187,2025-12-16,2026-09-21,UNAVAILABLE,,36M_RANGE_POSITION:INSUFFICIENT_BARS|MONTHLY_MA24_DISTANCE:INSUFFICIENT_BARS|52W_RANGE_POSITION:INSUFFICIENT_BARS,"36M_RANGE_POSITION: need 36 bars, have 9|MONTHLY_MA24_DISTANCE: need 24 bars, have 9|52W_RANGE_POSITION: need 52 bars, have 40",,,,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
0007J0,인벤테라,KOSDAQ,KR70007J0006,2026-04-02,2026-09-21,LOADED,,117,2026-04-02,2026-09-21,UNAVAILABLE,,36M_RANGE_POSITION:INSUFFICIENT_BARS|MONTHLY_MA24_DISTANCE:INSUFFICIENT_BARS|52W_RANGE_POSITION:INSUFFICIENT_BARS,"36M_RANGE_POSITION: need 36 bars, have 5|MONTHLY_MA24_DISTANCE: need 24 bars, have 5|52W_RANGE_POSITION: need 52 bars, have 25",,,,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000810,삼성화재,KOSPI,KR7000810002,2010-01-04,2026-09-21,LOADED,,4116,2010-01-04,2026-09-21,READY,OVERHEATED,,,0.8250950570342205,0.45899990858396555,0.6982248520710059,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000850,화천기공,KOSPI,KR7000850008,2010-01-04,2026-09-21,LOADED,,4116,2010-01-04,2026-09-21,READY,NORMAL,,,0.5677749360613811,0.13454545454545452,0.6038961038961039,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000860,강남제비스코,KOSPI,KR7000860007,2010-01-04,2026-09-21,LOADED,,4083,2010-01-04,2026-09-21,READY,NORMAL,,,0.3469514082327453,-0.04011931584599837,0.18018018018018017,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000880,한화,KOSPI,KR7000880005,2010-01-04,2026-09-21,LOADED,,4098,2010-01-04,2026-09-21,READY,OVERHEATED,,,0.6305871261116764,0.4331692298742629,0.3833793505005541,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000890,보해양조,KOSPI,KR7000890004,2010-01-04,2026-09-21,LOADED,,4054,2010-01-04,2026-09-21,READY,DEEP_DEPRESSED,,,0.03417721518987342,-0.3748150455571996,0.03892405063291139,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
0008Z0,에스엔시스,KOSDAQ,KR70008Z0005,2025-08-19,2026-09-21,LOADED,,267,2025-08-19,2026-09-21,UNAVAILABLE,,36M_RANGE_POSITION:INSUFFICIENT_BARS|MONTHLY_MA24_DISTANCE:INSUFFICIENT_BARS,"36M_RANGE_POSITION: need 36 bars, have 13|MONTHLY_MA24_DISTANCE: need 24 bars, have 13",,,0.1634304207119741,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000910,유니온,KOSPI,KR7000910000,2010-01-04,2026-09-21,LOADED,,4097,2010-01-04,2026-09-21,READY,DEPRESSED,,,0.11787819253438114,-0.3119017002428919,0.1443850267379679,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000950,전방,KOSPI,KR7000950006,2010-01-04,2026-09-21,LOADED,,3847,2010-01-04,2026-09-21,READY,NORMAL,,,0.49240121580547114,0.14481238763556226,0.3252747252747253,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
000970,한국주철관,KOSPI,KR7000970004,2010-01-04,2026-09-21,LOADED,,4115,2010-01-04,2026-09-21,READY,NORMAL,,,0.3067226890756303,0.0027938163531384674,0.26857142857142857,2026-08-31,2026-09-18,V01,PATTERN_B_STATE_RULE_V02,,False,False,False
