score_bucket,trade_count,realized_count,open_count,avg_return_pct_all,median_return_pct_all,win_count,win_rate_pct,avg_realized_return_pct,avg_open_return_pct,min_return_pct,max_return_pct,loss_le_neg20_count,loss_le_neg30_count,loss_le_neg50_count,loss_le_neg20_rate,loss_le_neg30_rate,loss_le_neg50_rate,open_le_neg30_count,open_le_neg50_count,open_le_neg30_rate,open_le_neg50_rate
"[0, 5)",7,7,0,10.0,-15.14,3,42.86,10.0,,-27.0,126.33,1,0,0,14.29,0.0,0.0,0,0,,
"[5, 10)",11,10,1,13.22,-16.32,3,27.27,16.27,-17.24,-19.01,132.14,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0
"[10, 15)",107,103,4,6.79,-15.38,30,28.04,8.57,-38.95,-93.9,306.35,7,2,2,6.54,1.87,1.87,2,2,50.0,50.0
"[15, 20)",127,121,6,14.79,-15.12,40,31.5,15.65,-2.57,-34.36,622.27,5,1,0,3.94,0.79,0.0,0,0,0.0,0.0
"[20, 25)",133,125,8,9.74,-15.44,33,24.81,4.38,93.49,-81.08,829.82,15,5,1,11.28,3.76,0.75,3,1,37.5,12.5
"[25, 30)",164,149,15,5.41,-15.38,49,29.88,6.58,-6.24,-89.81,336.33,14,5,3,8.54,3.05,1.83,5,3,33.33,20.0
"[30, 35)",172,157,15,7.4,-15.39,60,34.88,7.22,9.26,-98.1,300.2,15,4,3,8.72,2.33,1.74,3,3,20.0,20.0
"[35, 40)",194,180,14,21.23,-15.12,56,28.87,6.86,206.05,-73.36,1439.6,10,4,2,5.15,2.06,1.03,3,2,21.43,14.29
"[40, 45)",215,199,16,9.62,-15.22,71,33.02,8.32,25.83,-29.88,331.92,15,0,0,6.98,0.0,0.0,0,0,0.0,0.0
"[45, 50)",242,225,17,10.38,-15.18,76,31.4,10.71,6.0,-85.6,586.27,16,4,3,6.61,1.65,1.24,3,3,17.65,17.65
"[50, 55)",258,232,26,17.06,-15.1,95,36.82,19.7,-6.46,-72.09,328.24,21,8,5,8.14,3.1,1.94,8,5,30.77,19.23
"[55, 60)",257,243,14,10.81,-15.19,74,28.79,8.8,45.71,-44.48,409.45,8,2,0,3.11,0.78,0.0,1,0,7.14,0.0
"[60, 65)",257,241,16,14.07,-15.31,75,29.18,14.59,6.15,-85.9,432.28,23,6,4,8.95,2.33,1.56,4,4,25.0,25.0
"[65, 70)",234,219,15,11.14,-15.12,76,32.48,8.75,45.97,-53.36,294.29,13,3,1,5.56,1.28,0.43,1,1,6.67,6.67
"[70, 75)",303,286,17,8.88,-15.22,91,30.03,7.84,26.33,-59.23,385.37,23,4,2,7.59,1.32,0.66,2,1,11.76,5.88
"[75, 80)",266,247,19,8.49,-15.31,79,29.7,6.57,33.42,-99.24,591.53,22,6,3,8.27,2.26,1.13,5,3,26.32,15.79
"[80, 85)",247,238,9,13.45,-15.15,86,34.82,12.95,26.72,-81.81,308.54,20,3,2,8.1,1.21,0.81,1,1,11.11,11.11
"[85, 90)",257,249,8,8.59,-15.24,83,32.3,9.57,-21.82,-92.83,431.08,19,6,2,7.39,2.33,0.78,4,2,50.0,25.0
"[90, 95)",173,164,9,10.4,-15.04,57,32.95,10.73,4.29,-73.12,335.54,17,4,1,9.83,2.31,0.58,2,0,22.22,0.0
"[95, 100]",172,160,12,12.34,-14.95,64,37.21,13.46,-2.52,-57.9,188.51,13,5,2,7.56,2.91,1.16,3,2,25.0,16.67
