ticker,name,market,trade_id,trade_sequence,entry_signal_date,entry_execution_date,entry_open,entry_pattern_a_stage_report,entry_pattern_a_stage_reconstructed,entry_pattern_a_score,score_status,score_bucket,trade_status,exit_type,exit_execution_date,return_pct,return_source,latest_target_as_of,score_error
000020,동화약품,KOSPI,000020_01,1,2013-07-05,2013-07-08,6900.0,EARLY_TREND,EARLY_TREND,94.88913951146706,READY,"[90, 95)",REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,2013-10-01,-13.04,REALIZED_REPORT_HISTORY,2026-09-21,
000020,동화약품,KOSPI,000020_02,2,2014-04-18,2014-04-21,6020.0,TRANSITION,TRANSITION,75.66784340439763,READY,"[75, 80)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2014-07-30,-15.61,REALIZED_REPORT_HISTORY,2026-09-21,
000020,동화약품,KOSPI,000020_03,3,2014-10-31,2014-11-03,6100.0,TRANSITION,TRANSITION,57.82874073912842,READY,"[55, 60)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2014-12-09,-15.9,REALIZED_REPORT_HISTORY,2026-09-21,
000020,동화약품,KOSPI,000020_04,4,2015-03-13,2015-03-16,6770.0,TRANSITION,TRANSITION,64.7253667236923,READY,"[60, 65)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2015-09-01,4.87,REALIZED_REPORT_HISTORY,2026-09-21,
000020,동화약품,KOSPI,000020_05,5,2018-01-26,2018-01-29,10700.0,EARLY_TREND,EARLY_TREND,94.00229475414642,READY,"[90, 95)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2018-10-24,-14.77,REALIZED_REPORT_HISTORY,2026-09-21,
000050,경방,KOSPI,000050_01,1,2013-04-26,2013-04-29,10558.0,TRANSITION,TRANSITION,60.25445036347472,READY,"[60, 65)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2013-11-01,-0.43,REALIZED_REPORT_HISTORY,2026-09-21,
000050,경방,KOSPI,000050_02,2,2014-08-08,2014-08-12,16250.0,TRANSITION,TRANSITION,85.48902824858398,READY,"[85, 90)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2015-05-04,59.69,REALIZED_REPORT_HISTORY,2026-09-21,
000050,경방,KOSPI,000050_03,3,2016-10-07,2016-10-10,20900.0,TRANSITION,TRANSITION,73.0582881179302,READY,"[70, 75)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2016-11-02,-18.18,REALIZED_REPORT_HISTORY,2026-09-21,
000050,경방,KOSPI,000050_04,4,2020-05-29,2020-06-01,14000.0,TRANSITION,TRANSITION,21.577365303768445,READY,"[20, 25)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2020-06-16,-16.07,REALIZED_REPORT_HISTORY,2026-09-21,
000050,경방,KOSPI,000050_05,5,2021-05-28,2021-05-31,15300.0,EARLY_TREND,EARLY_TREND,85.45350977401112,READY,"[85, 90)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-23,-16.67,REALIZED_REPORT_HISTORY,2026-09-21,
000050,경방,KOSPI,000050_06,6,2022-04-29,2022-05-02,15700.0,EARLY_TREND,EARLY_TREND,98.19476974593775,READY,"[95, 100]",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-20,-15.92,REALIZED_REPORT_HISTORY,2026-09-21,
000070,삼양홀딩스,KOSPI,000070_01,1,2014-07-11,2014-07-14,52917.0,TRANSITION,TRANSITION,90.61942379773105,READY,"[90, 95)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2015-08-03,142.12,REALIZED_REPORT_HISTORY,2026-09-21,
000070,삼양홀딩스,KOSPI,000070_02,2,2021-01-22,2021-01-25,61191.0,TRANSITION,TRANSITION,30.362775202092152,READY,"[30, 35)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2021-08-02,20.5,REALIZED_REPORT_HISTORY,2026-09-21,
000070,삼양홀딩스,KOSPI,000070_03,3,2025-06-13,2025-06-16,57321.0,TRANSITION,TRANSITION,49.66665135878675,READY,"[45, 50)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2026-07-01,-3.53,REALIZED_REPORT_HISTORY,2026-09-21,
000080,하이트진로,KOSPI,000080_01,1,2012-12-28,2013-01-02,30650.0,TRANSITION,TRANSITION,41.107975241412646,READY,"[40, 45)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2013-08-08,-16.64,REALIZED_REPORT_HISTORY,2026-09-21,
000080,하이트진로,KOSPI,000080_02,2,2016-01-15,2016-01-18,27600.0,TRANSITION,TRANSITION,61.625915020160335,READY,"[60, 65)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2016-06-27,-16.67,REALIZED_REPORT_HISTORY,2026-09-21,
000080,하이트진로,KOSPI,000080_03,3,2017-06-02,2017-06-05,24250.0,TRANSITION,TRANSITION,65.31669694172292,READY,"[65, 70)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2018-04-16,-15.46,REALIZED_REPORT_HISTORY,2026-09-21,
000080,하이트진로,KOSPI,000080_04,4,2019-04-26,2019-04-29,20250.0,TRANSITION,TRANSITION,47.823371178444276,READY,"[45, 50)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2020-03-02,31.11,REALIZED_REPORT_HISTORY,2026-09-21,
000080,하이트진로,KOSPI,000080_05,5,2021-07-02,2021-07-05,36650.0,TRANSITION,TRANSITION,82.36455396477255,READY,"[80, 85)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-20,-15.96,REALIZED_REPORT_HISTORY,2026-09-21,
000100,유한양행,KOSPI,000100_01,1,2013-01-11,2013-01-14,26079.0,EARLY_TREND,EARLY_TREND,89.31577968327555,READY,"[85, 90)",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2024-11-01,431.08,REALIZED_REPORT_HISTORY,2026-09-21,
000120,CJ대한통운,KOSPI,000120_01,1,2013-01-11,2013-01-14,117000.0,TRANSITION,TRANSITION,81.34380952672548,READY,"[80, 85)",REALIZED,LOSS_GUARD_CLOSE_LE_NEG_15,2013-03-22,-16.15,REALIZED_REPORT_HISTORY,2026-09-21,
000120,CJ대한통운,KOSPI,000120_02,2,2014-04-04,2014-04-07,114000.0,TRANSITION,TRANSITION,96.73012958303269,READY,"[95, 100]",REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,2015-05-04,78.51,REALIZED_REPORT_HISTORY,2026-09-21,
