strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price,hwm_price
V2,069500,2017-01-06,2017-01-09,26700.0,2020-03-18,2020-03-19,22335.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-16.35,28.43,-18.2,782,44.78,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2017-01-13,2017-01-16,27160.0,2020-03-18,2020-03-19,22335.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-17.77,26.25,-19.59,777,44.02,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2017-01-20,2017-01-23,27055.0,2020-03-18,2020-03-19,22335.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-17.45,26.74,-19.28,772,44.19,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2017-09-01,2017-09-04,30340.0,2019-08-05,2019-08-06,25185.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-16.99,13.02,-16.99,469,30.01,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2017-09-08,2017-09-11,30910.0,2018-10-29,2018-10-30,26060.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-15.69,10.93,-15.69,274,26.62,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2017-09-15,2017-09-18,31415.0,2018-10-26,2018-10-29,26480.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-15.71,9.15,-16.76,268,24.86,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2017-09-22,2017-09-25,31710.0,2018-10-25,2018-10-26,26840.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-15.36,8.14,-16.67,262,23.5,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2019-11-15,2019-11-18,28745.0,2020-03-16,2020-03-17,22775.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-20.77,8.31,-20.77,82,29.08,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2019-11-22,2019-11-25,28135.0,2020-03-16,2020-03-17,22775.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-19.05,10.66,-19.05,77,29.71,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2020-01-10,2020-01-13,30075.0,2020-03-12,2020-03-13,23225.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-22.78,3.52,-22.78,43,26.3,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2020-01-17,2020-01-20,30865.0,2020-03-11,2020-03-12,25860.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-16.22,0.87,-16.22,37,17.09,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2020-10-30,2020-11-02,30210.0,2021-07-31,2021-08-02,42685.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,41.29,50.18,-0.1,188,8.89,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2020-11-06,2020-11-09,32485.0,2021-07-31,2021-08-02,42685.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,31.4,39.66,-0.42,183,8.26,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2020-11-13,2020-11-16,33505.0,2021-07-31,2021-08-02,42685.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,27.4,35.41,-0.25,178,8.01,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2020-11-20,2020-11-23,34150.0,2021-07-31,2021-08-02,42685.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,24.99,32.86,-0.28,173,7.87,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2020-11-27,2020-11-30,35330.0,2021-07-31,2021-08-02,42685.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,20.82,28.42,-1.83,168,7.6,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2021-01-29,2021-02-01,41000.0,2021-07-31,2021-08-02,42685.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,4.11,7.74,-1.06,126,3.63,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2021-02-05,2021-02-08,42905.0,2021-07-31,2021-08-02,42685.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,-0.51,2.96,-5.45,121,3.47,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2021-02-19,2021-02-22,43055.0,2021-07-31,2021-08-02,42685.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,-0.86,2.6,-5.78,113,3.46,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
