strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price,hwm_price
V2,069500,2017-01-06,2017-01-09,26700.0,2020-03-18,2020-03-19,22335.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-16.35,28.43,-18.2,782,44.78,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2020-10-30,2020-11-02,30210.0,2021-07-31,2021-08-02,42685.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,41.29,50.18,-0.1,188,8.89,2,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2024-05-03,2024-05-07,37075.0,2025-04-09,2025-04-10,32740.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-11.69,8.4,-16.82,226,20.09,3,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
V2,069500,2025-05-30,2025-06-02,36040.0,2026-02-28,2026-03-03,92035.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,155.37,165.59,-0.25,182,10.22,4,PATTERN_A_FAST_FINAL_STRATEGY_V02,,,
Julia,069500,2017-01-06,2017-01-09,26700.0,2021-07-31,2021-08-02,42685.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,59.87,69.93,-25.3,1122,10.06,1,JULIA_STRATEGY_V00,,,
Julia,069500,2024-05-03,2024-05-07,37075.0,2026-02-28,2026-03-03,92035.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,148.24,158.18,-16.82,441,9.94,2,JULIA_STRATEGY_V00,,,
V3,069500,2017-01-06,2017-01-09,26700.0,2018-02-09,2018-02-12,31005.0,SOFT_EXIT,REALIZED,16.12,28.43,-0.24,268,12.31,1,PATTERN_A_FAST_FINAL_STRATEGY_V03,2018-02-12,,
V3,069500,2019-11-15,2019-11-18,28745.0,2021-10-06,2021-10-07,38600.0,SOFT_EXIT,REALIZED,34.28,57.84,-30.61,467,23.56,2,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-10-07,,
V3,069500,2024-05-03,2024-05-07,37075.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,160.59,311.21,-16.82,542,150.62,3,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,,
V4,069500,2017-01-06,2017-01-09,26700.0,2018-07-06,2018-07-09,29460.0,WINNER_SOFT_WATCH_EXIT,REALIZED,10.34,28.43,-0.24,365,18.09,1,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-07-09,29460.0,34290.0
V4,069500,2019-11-15,2019-11-18,28745.0,2020-03-20,2020-03-23,20230.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-29.62,8.31,-30.61,86,37.93,2,PATTERN_A_FAST_FINAL_STRATEGY_V04,2020-03-23,20230.0,31135.0
V4,069500,2020-10-30,2020-11-02,30210.0,2021-10-12,2021-10-13,38120.0,WINNER_SOFT_WATCH_EXIT,REALIZED,26.18,50.18,-0.1,234,24.0,3,PATTERN_A_FAST_FINAL_STRATEGY_V04,2021-10-13,38120.0,45370.0
V4,069500,2024-05-03,2024-05-07,37075.0,2026-07-28,2026-07-29,96615.0,WINNER_HARD_EXIT,REALIZED,160.59,311.21,-16.82,542,150.62,4,PATTERN_A_FAST_FINAL_STRATEGY_V04,2026-07-29,96615.0,152455.0
