strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,069500,2024-05-03,2024-05-07,37075.0,2025-04-09,2025-04-10,32740.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-11.69,8.4,-16.82,226,20.09,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2025-04-10,32740.0
V3,069500,2024-05-03,2024-05-07,37075.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,160.59,311.21,-16.82,542,150.62,1,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2024-05-10,2024-05-13,37335.0,2024-12-09,2024-12-10,31840.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-14.72,7.65,-15.63,143,22.37,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-12-10,31840.0
V3,069500,2024-05-10,2024-05-13,37335.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,158.78,308.34,-17.4,538,149.56,2,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2024-05-17,2024-05-20,37480.0,2024-11-14,2024-11-15,31870.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-14.97,7.23,-15.13,122,22.2,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-11-15,31870.0
V3,069500,2024-05-17,2024-05-20,37480.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,157.78,306.76,-17.72,534,148.98,3,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2024-05-24,2024-05-27,36785.0,2025-04-09,2025-04-10,32740.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-11.0,9.26,-16.16,213,20.26,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2025-04-10,32740.0
V3,069500,2024-05-24,2024-05-27,36785.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,162.65,314.45,-16.16,529,151.8,4,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
V2,069500,2024-05-31,2024-06-03,36265.0,2026-02-28,2026-03-03,92035.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,153.78,163.95,-14.96,423,10.17,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-03-03,92035.0
V3,069500,2024-05-31,2024-06-03,36265.0,2026-07-28,2026-07-29,96615.0,HARD_EXIT,REALIZED,166.41,320.39,-14.96,524,153.98,5,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,96615.0
