strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,226490,2019-11-22,2019-11-25,21275.0,2020-03-16,2020-03-17,16720.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-21.41,9.1,-21.41,77,30.51,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2020-03-17,16720.0
V2,226490,2020-10-30,2020-11-02,22825.0,2021-08-31,2021-09-01,32115.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,40.7,45.89,-0.46,209,5.19,2,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-09-01,32115.0
V2,226490,2024-05-03,2024-05-07,27580.0,2026-05-31,2026-06-01,87085.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,215.75,216.12,-13.6,502,0.37,3,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-06-01,87085.0
V3,226490,2019-11-22,2019-11-25,21275.0,2022-01-25,2022-01-26,27860.0,SOFT_EXIT,REALIZED,30.95,56.52,-30.74,539,25.57,1,PATTERN_A_FAST_FINAL_STRATEGY_V03,2022-01-26,27860.0
V3,226490,2024-05-03,2024-05-07,27580.0,2026-07-29,2026-07-30,58000.0,HARD_EXIT,REALIZED,110.3,249.51,-13.6,543,139.21,2,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-30,58000.0
V4,226490,2019-11-22,2019-11-25,21275.0,2020-03-20,2020-03-23,14930.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-29.82,9.1,-30.74,81,38.92,1,PATTERN_A_FAST_FINAL_STRATEGY_V04,2020-03-23,14930.0
V4,226490,2020-10-30,2020-11-02,22825.0,2021-10-08,2021-10-12,29610.0,WINNER_SOFT_WATCH_EXIT,REALIZED,29.73,45.89,-0.46,233,16.16,2,PATTERN_A_FAST_FINAL_STRATEGY_V04,2021-10-12,29610.0
V4,226490,2024-05-03,2024-05-07,27580.0,2026-07-29,2026-07-30,58000.0,WINNER_HARD_EXIT,REALIZED,110.3,249.51,-13.6,543,139.21,3,PATTERN_A_FAST_FINAL_STRATEGY_V04,2026-07-30,58000.0
Julia,226490,2019-11-22,2019-11-25,21275.0,2021-08-31,2021-09-01,32115.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,50.95,56.52,-30.74,440,5.57,1,JULIA_STRATEGY_V00,2021-09-01,32115.0
Julia,226490,2024-05-03,2024-05-07,27580.0,2026-05-31,2026-06-01,87085.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,215.75,216.12,-13.6,502,0.37,2,JULIA_STRATEGY_V00,2026-06-01,87085.0
