strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,292190,2025-06-13,2025-06-16,18120.0,2026-02-28,2026-03-03,42240.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,133.11,141.25,-0.41,174,8.14,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-03-03,42240.0
Julia,292190,2025-06-13,2025-06-16,18120.0,2026-02-28,2026-03-03,42240.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,133.11,141.25,-0.41,174,8.14,1,JULIA_STRATEGY_V00,2026-03-03,42240.0
V3,292190,2025-06-13,2025-06-16,18120.0,2026-07-28,2026-07-29,42445.0,HARD_EXIT,REALIZED,134.24,269.43,-0.41,275,135.19,1,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,42445.0
V4,292190,2025-06-13,2025-06-16,18120.0,2026-07-28,2026-07-29,42445.0,WINNER_HARD_EXIT,REALIZED,134.24,269.43,-0.41,275,135.19,1,PATTERN_A_FAST_FINAL_STRATEGY_V04,2026-07-29,42445.0
V2,292190,2025-06-20,2025-06-23,18700.0,2026-02-28,2026-03-03,42240.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,125.88,133.77,-0.67,169,7.89,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-03-03,42240.0
Julia,292190,2025-06-20,2025-06-23,18700.0,2026-02-28,2026-03-03,42240.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,125.88,133.77,-0.67,169,7.89,1,JULIA_STRATEGY_V00,2026-03-03,42240.0
V3,292190,2025-06-20,2025-06-23,18700.0,2026-07-28,2026-07-29,42445.0,HARD_EXIT,REALIZED,126.98,257.97,-0.67,270,130.99,2,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,42445.0
V4,292190,2025-06-20,2025-06-23,18700.0,2026-07-28,2026-07-29,42445.0,WINNER_HARD_EXIT,REALIZED,126.98,257.97,-0.67,270,130.99,2,PATTERN_A_FAST_FINAL_STRATEGY_V04,2026-07-29,42445.0
V2,292190,2025-06-27,2025-06-30,19335.0,2026-02-28,2026-03-03,42240.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,118.46,126.09,-1.53,164,7.63,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-03-03,42240.0
Julia,292190,2025-06-27,2025-06-30,19335.0,2026-02-28,2026-03-03,42240.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,118.46,126.09,-1.53,164,7.63,1,JULIA_STRATEGY_V00,2026-03-03,42240.0
V3,292190,2025-06-27,2025-06-30,19335.0,2026-07-28,2026-07-29,42445.0,HARD_EXIT,REALIZED,119.52,246.21,-1.53,265,126.69,3,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-07-29,42445.0
V4,292190,2025-06-27,2025-06-30,19335.0,2026-07-28,2026-07-29,42445.0,WINNER_HARD_EXIT,REALIZED,119.52,246.21,-1.53,265,126.69,3,PATTERN_A_FAST_FINAL_STRATEGY_V04,2026-07-29,42445.0
