strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,102970,2017-03-31,2017-04-03,6400.0,2020-03-12,2020-03-13,4855.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-24.14,44.84,-24.14,721,68.98,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2020-03-13,4855.0
V2,102970,2020-08-14,2020-08-18,6360.0,2025-09-30,2025-10-01,13995.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,120.05,143.95,-22.17,1259,23.9,2,PATTERN_A_FAST_FINAL_STRATEGY_V02,2025-10-01,13995.0
V3,102970,2017-03-31,2017-04-03,6400.0,2017-08-11,2017-08-14,7320.0,SOFT_EXIT,REALIZED,14.38,28.59,-4.61,91,14.21,1,PATTERN_A_FAST_FINAL_STRATEGY_V03,2017-08-14,7320.0
V3,102970,2018-01-26,2018-01-29,8995.0,2026-06-23,2026-06-24,21000.0,HARD_EXIT,REALIZED,133.46,279.88,-60.81,2060,146.42,2,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-06-24,21000.0
V4,102970,2017-03-31,2017-04-03,6400.0,2017-10-13,2017-10-16,7390.0,WINNER_SOFT_WATCH_EXIT,REALIZED,15.47,28.59,-4.61,129,13.12,1,PATTERN_A_FAST_FINAL_STRATEGY_V04,2017-10-16,7390.0
V4,102970,2018-01-26,2018-01-29,8995.0,2018-07-13,2018-07-16,6930.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-22.96,3.06,-25.4,113,26.02,2,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-07-16,6930.0
V4,102970,2019-04-05,2019-04-08,7140.0,2020-03-13,2020-03-16,5090.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-28.71,4.06,-33.05,233,32.77,3,PATTERN_A_FAST_FINAL_STRATEGY_V04,2020-03-16,5090.0
V4,102970,2020-08-14,2020-08-18,6360.0,2021-07-07,2021-07-08,8315.0,WINNER_SOFT_WATCH_EXIT,REALIZED,30.74,46.54,-7.23,221,15.8,4,PATTERN_A_FAST_FINAL_STRATEGY_V04,2021-07-08,8315.0
V4,102970,2024-02-02,2024-02-05,7300.0,2026-06-23,2026-06-24,21000.0,WINNER_HARD_EXIT,REALIZED,187.67,368.08,-8.29,578,180.41,5,PATTERN_A_FAST_FINAL_STRATEGY_V04,2026-06-24,21000.0
Julia,102970,2017-03-31,2017-04-03,6400.0,2025-09-30,2025-10-01,13995.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,118.67,142.42,-44.92,2086,23.75,1,JULIA_STRATEGY_V00,2025-10-01,13995.0
