strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,117680,2023-02-17,2023-02-20,8855.0,2024-08-05,2024-08-06,7385.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-16.6,22.76,-22.98,360,39.36,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-08-06,7385.0
Julia,117680,2023-02-17,2023-02-20,8855.0,2026-04-30,2026-05-04,17770.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,100.68,107.4,-22.98,780,6.72,1,JULIA_STRATEGY_V00,2026-05-04,17770.0
V3,117680,2023-02-17,2023-02-20,8855.0,2023-08-18,2023-08-21,9280.0,SOFT_EXIT,REALIZED,4.8,22.76,-6.44,125,17.96,1,PATTERN_A_FAST_FINAL_STRATEGY_V03,2023-08-21,9280.0
V4,117680,2023-02-17,2023-02-20,8855.0,2023-10-26,2023-10-27,8630.0,WINNER_HARD_EXIT,REALIZED,-2.54,22.76,-6.44,169,25.3,1,PATTERN_A_FAST_FINAL_STRATEGY_V04,2023-10-27,8630.0
V2,117680,2023-02-24,2023-02-27,8810.0,2024-08-05,2024-08-06,7385.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-16.17,23.38,-22.59,355,39.55,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-08-06,7385.0
Julia,117680,2023-02-24,2023-02-27,8810.0,2026-04-30,2026-05-04,17770.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,101.7,108.46,-22.59,775,6.76,1,JULIA_STRATEGY_V00,2026-05-04,17770.0
V3,117680,2023-02-24,2023-02-27,8810.0,2023-08-18,2023-08-21,9280.0,SOFT_EXIT,REALIZED,5.33,23.38,-5.96,120,18.05,2,PATTERN_A_FAST_FINAL_STRATEGY_V03,2023-08-21,9280.0
V4,117680,2023-02-24,2023-02-27,8810.0,2023-10-26,2023-10-27,8630.0,WINNER_HARD_EXIT,REALIZED,-2.04,23.38,-5.96,164,25.42,2,PATTERN_A_FAST_FINAL_STRATEGY_V04,2023-10-27,8630.0
V2,117680,2023-03-03,2023-03-06,9045.0,2024-08-05,2024-08-06,7385.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-18.35,20.18,-24.6,351,38.53,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-08-06,7385.0
Julia,117680,2023-03-03,2023-03-06,9045.0,2026-04-30,2026-05-04,17770.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,96.46,103.04,-24.6,771,6.58,1,JULIA_STRATEGY_V00,2026-05-04,17770.0
