strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,117680,2023-02-17,2023-02-20,8855.0,2024-08-05,2024-08-06,7385.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-16.6,22.76,-22.98,360,39.36,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-08-06,7385.0
V2,117680,2024-10-25,2024-10-28,10360.0,2024-11-15,2024-11-18,8600.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-16.99,6.18,-17.62,16,23.17,2,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-11-18,8600.0
V2,117680,2024-12-06,2024-12-09,10095.0,2025-04-09,2025-04-10,8855.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-12.28,9.36,-16.94,81,21.64,3,PATTERN_A_FAST_FINAL_STRATEGY_V02,2025-04-10,8855.0
V2,117680,2025-06-27,2025-06-30,11040.0,2026-04-30,2026-05-04,17770.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,60.96,66.35,-2.17,207,5.39,4,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-05-04,17770.0
V3,117680,2023-02-17,2023-02-20,8855.0,2023-08-18,2023-08-21,9280.0,SOFT_EXIT,REALIZED,4.8,22.76,-6.44,125,17.96,1,PATTERN_A_FAST_FINAL_STRATEGY_V03,2023-08-21,9280.0
V3,117680,2024-10-25,2024-10-28,10360.0,2025-08-01,2025-08-04,11555.0,SOFT_EXIT,REALIZED,11.53,27.08,-19.06,188,15.55,2,PATTERN_A_FAST_FINAL_STRATEGY_V03,2025-08-04,11555.0
V3,117680,2025-09-12,2025-09-15,12180.0,2026-03-27,2026-03-30,14030.0,SOFT_EXIT,REALIZED,15.19,50.78,-10.1,129,35.59,3,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-03-30,14030.0
V4,117680,2023-02-17,2023-02-20,8855.0,2023-10-26,2023-10-27,8630.0,WINNER_HARD_EXIT,REALIZED,-2.54,22.76,-6.44,169,25.3,1,PATTERN_A_FAST_FINAL_STRATEGY_V04,2023-10-27,8630.0
V4,117680,2024-10-25,2024-10-28,10360.0,2026-06-08,2026-06-09,14200.0,WINNER_HARD_EXIT,REALIZED,37.07,77.27,-19.06,392,40.2,2,PATTERN_A_FAST_FINAL_STRATEGY_V04,2026-06-09,14200.0
Julia,117680,2023-02-17,2023-02-20,8855.0,2026-04-30,2026-05-04,17770.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,100.68,107.4,-22.98,780,6.72,1,JULIA_STRATEGY_V00,2026-05-04,17770.0
