strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,117700,2018-01-26,2018-01-29,3185.0,2019-08-01,2019-08-02,2655.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-16.64,23.08,-16.64,371,39.72,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2019-08-02,2655.0
Julia,117700,2018-01-26,2018-01-29,3185.0,2021-08-31,2021-09-01,3790.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,19.0,25.9,-56.51,886,6.9,1,JULIA_STRATEGY_V00,2021-09-01,3790.0
V3,117700,2018-01-26,2018-01-29,3185.0,2018-06-15,2018-06-18,3400.0,SOFT_EXIT,REALIZED,6.75,23.08,-12.24,93,16.33,1,PATTERN_A_FAST_FINAL_STRATEGY_V03,2018-06-18,3400.0
V4,117700,2018-01-26,2018-01-29,3185.0,2018-07-02,2018-07-03,3140.0,WINNER_HARD_EXIT,REALIZED,-1.41,23.08,-12.24,104,24.49,1,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-07-03,3140.0
V2,117700,2018-03-09,2018-03-12,3015.0,2019-08-06,2019-08-07,2545.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-15.59,30.02,-17.25,347,45.61,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2019-08-07,2545.0
Julia,117700,2018-03-09,2018-03-12,3015.0,2021-08-31,2021-09-01,3790.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,25.7,33.0,-54.06,859,7.3,1,JULIA_STRATEGY_V00,2021-09-01,3790.0
V3,117700,2018-03-09,2018-03-12,3015.0,2018-06-15,2018-06-18,3400.0,SOFT_EXIT,REALIZED,12.77,30.02,-7.3,66,17.25,2,PATTERN_A_FAST_FINAL_STRATEGY_V03,2018-06-18,3400.0
V4,117700,2018-03-09,2018-03-12,3015.0,2018-07-02,2018-07-03,3140.0,WINNER_HARD_EXIT,REALIZED,4.15,30.02,-7.3,77,25.87,2,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-07-03,3140.0
V2,117700,2018-03-30,2018-04-02,2990.0,2019-08-07,2019-08-08,2555.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-14.55,31.1,-16.56,333,45.65,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2019-08-08,2555.0
Julia,117700,2018-03-30,2018-04-02,2990.0,2021-08-31,2021-09-01,3790.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,26.76,34.11,-53.68,844,7.35,1,JULIA_STRATEGY_V00,2021-09-01,3790.0
V3,117700,2018-03-30,2018-04-02,2990.0,2018-06-15,2018-06-18,3400.0,SOFT_EXIT,REALIZED,13.71,31.1,-3.01,51,17.39,3,PATTERN_A_FAST_FINAL_STRATEGY_V03,2018-06-18,3400.0
V4,117700,2018-03-30,2018-04-02,2990.0,2018-07-02,2018-07-03,3140.0,WINNER_HARD_EXIT,REALIZED,5.02,31.1,-3.01,62,26.08,3,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-07-03,3140.0
V2,117700,2018-04-06,2018-04-09,3045.0,2019-08-05,2019-08-06,2505.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-17.73,28.74,-17.73,326,46.47,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2019-08-06,2505.0
Julia,117700,2018-04-06,2018-04-09,3045.0,2021-08-31,2021-09-01,3790.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,24.47,31.69,-54.52,839,7.22,1,JULIA_STRATEGY_V00,2021-09-01,3790.0
V3,117700,2018-04-06,2018-04-09,3045.0,2018-06-15,2018-06-18,3400.0,SOFT_EXIT,REALIZED,11.66,28.74,-0.82,46,17.08,4,PATTERN_A_FAST_FINAL_STRATEGY_V03,2018-06-18,3400.0
V4,117700,2018-04-06,2018-04-09,3045.0,2018-07-02,2018-07-03,3140.0,WINNER_HARD_EXIT,REALIZED,3.12,28.74,-0.82,57,25.62,4,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-07-03,3140.0
V2,117700,2018-04-13,2018-04-16,3075.0,2019-08-05,2019-08-06,2505.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-18.54,27.48,-18.54,321,46.02,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2019-08-06,2505.0
Julia,117700,2018-04-13,2018-04-16,3075.0,2021-08-31,2021-09-01,3790.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,23.25,30.41,-54.96,834,7.16,1,JULIA_STRATEGY_V00,2021-09-01,3790.0
V3,117700,2018-04-13,2018-04-16,3075.0,2018-06-15,2018-06-18,3400.0,SOFT_EXIT,REALIZED,10.57,27.48,-1.79,41,16.91,5,PATTERN_A_FAST_FINAL_STRATEGY_V03,2018-06-18,3400.0
V4,117700,2018-04-13,2018-04-16,3075.0,2018-07-02,2018-07-03,3140.0,WINNER_HARD_EXIT,REALIZED,2.11,27.48,-1.79,52,25.37,5,PATTERN_A_FAST_FINAL_STRATEGY_V04,2018-07-03,3140.0
V2,117700,2018-04-20,2018-04-23,3390.0,2018-10-26,2018-10-29,2850.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-15.93,15.63,-17.55,125,31.56,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2018-10-29,2850.0
