ticker,name,market,asset_type,reference_market_date,status,cache_existed_before,cache_first_date_before,cache_last_date_before,fetch_start_date,fetch_end_date,fetched_row_count,cache_first_date_after,cache_last_date_after,total_row_count_after,completed_month_count_after,retry_count,error_type,error_message
000250,삼천당제약,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
000440,중앙에너비스,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
001000,신라섬유,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
001540,안국약품,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
001810,무림SP,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
001840,이화공영,KOSDAQ,COMMON,2026-08-14,UPDATED,True,2021-08-17,2026-01-23,2026-01-18,2026-08-14,5,2021-08-17,2026-01-23,1086,54,0,,
002230,피에스텍,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
002290,삼일기업공사,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
002680,한탑,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
002800,신신제약,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
003100,선광,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
003310,대주산업,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
003380,하림지주,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
003800,에이스침대,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
004590,한국가구,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
004650,창해에탄올,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
004780,대륙제관,KOSDAQ,COMMON,2026-08-14,SKIPPED_FRESH,True,2021-08-17,2026-08-14,,,0,2021-08-17,2026-08-14,1222,60,0,,
