stage,feature_name,count,missing,min,p25,median,p75,max,mean
base,distance_to_resistance_5y,10,0,0.2274,0.3874,0.7752,1.5962,3.2787,1.1672
base,range_position_5y,10,0,0.1115,0.1384,0.4183,0.645,0.7159,0.4034
base,resistance_touch_count_5y,10,0,1.0,1.25,2.5,3.0,3.0,2.2
base,years_since_5y_high,10,0,0.91,1.9,3.585,4.8175,4.91,3.274
base,drawdown_from_5y_high,10,0,0.1852,0.2792,0.4358,0.6034,0.7663,0.4434
base,prior_expansion_ratio_5y,10,0,2.3151,2.9599,3.6593,5.4657,8.3654,4.3619
base,base_duration_months_5y,10,0,6.0,13.75,30.0,40.25,45.0,27.2
base,months_since_5y_low,10,0,9.0,21.75,45.0,45.0,57.0,36.8
base,range_width_5y,10,0,1.3151,1.9599,2.6593,4.4657,7.3654,3.3619
early_trend,distance_to_resistance_5y,8,0,0.0231,0.0528,0.0919,0.165,0.2824,0.1223
early_trend,range_position_5y,8,0,0.6702,0.8047,0.8718,0.9269,0.9627,0.8497
early_trend,resistance_touch_count_5y,8,0,1.0,1.0,1.5,2.0,2.0,1.5
early_trend,years_since_5y_high,8,0,0.0,0.0,0.0,2.1225,4.84,1.2087
early_trend,drawdown_from_5y_high,8,0,0.0226,0.0501,0.0834,0.1396,0.2202,0.1029
early_trend,prior_expansion_ratio_5y,8,0,2.5182,2.7069,2.9545,3.2764,4.3882,3.0899
early_trend,base_duration_months_5y,8,0,6.0,21.25,28.0,29.5,31.0,24.0
early_trend,months_since_5y_low,8,0,5.0,28.5,47.5,58.25,59.0,39.75
early_trend,range_width_5y,8,0,1.5182,1.7069,1.9545,2.2764,3.3882,2.0899
progressed,distance_to_resistance_5y,13,0,0.0116,0.0305,0.1005,0.1404,0.3178,0.1079
progressed,range_position_5y,13,0,0.7086,0.8466,0.8978,0.958,0.9837,0.8879
progressed,resistance_touch_count_5y,13,0,1.0,1.0,1.0,2.0,3.0,1.5385
progressed,years_since_5y_high,13,0,0.0,0.0,0.0,0.08,4.67,0.4031
progressed,drawdown_from_5y_high,13,0,0.0114,0.0296,0.0913,0.1231,0.2412,0.0926
progressed,prior_expansion_ratio_5y,13,0,3.1012,3.4783,5.8458,9.4038,26.1154,8.4
progressed,base_duration_months_5y,13,0,20.0,41.0,44.0,53.0,58.0,44.3077
progressed,months_since_5y_low,13,0,21.0,33.0,45.0,57.0,59.0,44.3846
progressed,range_width_5y,13,0,2.1012,2.4783,4.8458,8.4038,25.1154,7.4
transition,distance_to_resistance_5y,10,0,0.1166,0.2233,0.4,0.6168,1.1348,0.4534
transition,range_position_5y,10,0,0.3154,0.4978,0.532,0.7458,0.832,0.5766
transition,resistance_touch_count_5y,10,0,1.0,2.0,2.5,3.0,3.0,2.3
transition,years_since_5y_high,10,0,0.0,0.21,0.875,2.9625,4.75,1.618
transition,drawdown_from_5y_high,10,0,0.1044,0.1796,0.2856,0.3803,0.5316,0.2859
transition,prior_expansion_ratio_5y,10,0,2.1906,2.5732,2.9298,3.6687,4.5992,3.1734
transition,base_duration_months_5y,10,0,4.0,20.5,23.0,28.75,35.0,22.5
transition,months_since_5y_low,10,0,3.0,9.0,24.0,42.0,55.0,25.8
transition,range_width_5y,10,0,1.1906,1.5732,1.9298,2.6687,3.5992,2.1734
weak,distance_to_resistance_5y,5,0,0.7088,0.9291,1.559,1.5798,1.9848,1.3523
weak,range_position_5y,5,0,0.1138,0.1973,0.2114,0.3062,0.3454,0.2348
weak,resistance_touch_count_5y,5,0,2.0,2.0,3.0,3.0,5.0,3.0
weak,years_since_5y_high,5,0,1.91,3.17,3.42,4.83,4.84,3.634
weak,drawdown_from_5y_high,5,0,0.4148,0.4816,0.6092,0.6124,0.665,0.5566
weak,prior_expansion_ratio_5y,5,0,2.1903,2.7295,4.1485,4.4751,24.1038,7.5294
weak,base_duration_months_5y,5,0,25.0,28.0,32.0,36.0,39.0,32.0
weak,months_since_5y_low,5,0,6.0,9.0,33.0,34.0,55.0,27.4
weak,range_width_5y,5,0,1.1903,1.7295,3.1485,3.4751,23.1038,6.5294
