ticker,name,snapshot_date,history_start_date,history_end_date,available_history_months,available_history_years,has_5y_coverage,has_10y_coverage,resistance_5y,distance_to_resistance_5y,range_position_5y,resistance_touch_count_5y,high_5y,low_5y,distance_to_high_5y,years_since_5y_high,drawdown_from_5y_high,prior_expansion_ratio_5y,base_duration_months_5y,months_since_5y_low,range_width_5y,calculation_version,manual_stage
006360,GS건설,2023-10-31,2014-05-26,2023-10-31,114,9.43,True,False,49550.0,2.7651975683890577,0.013286334056399132,6,49550.0,12670.0,2.7651975683890577,1.59,0.7344096871846619,3.910812943962115,22,0,2.910812943962115,v0.4_research_candidate,weak
006360,GS건설,2022-11-30,2014-05-26,2022-11-30,103,8.51,True,False,56500.0,1.4145299145299146,0.20908004778972522,2,56500.0,14650.0,1.4145299145299146,4.08,0.5858407079646017,3.856655290102389,21,32,2.856655290102389,v0.4_research_candidate,weak
009830,한화솔루션,2024-04-30,2014-05-26,2024-04-30,120,9.93,True,True,69123.0,1.86259162628898,0.23035063401611994,2,69123.0,10686.0,1.86259162628898,3.24,0.6506662037237967,6.4685569904548,22,49,5.4685569904548,v0.4_research_candidate,weak
018880,한온시스템,2024-06-30,2014-05-26,2024-06-28,122,10.09,True,True,18776.0,3.2711555959963605,0.006082388719933647,2,18776.0,4308.0,3.2711555959963605,3.41,0.7658713250958671,4.358402971216342,34,0,3.358402971216342,v0.4_research_candidate,weak
000720,현대건설,2024-03-31,2014-05-26,2024-03-29,119,9.84,True,False,60227.0,0.825060606060606,0.3454261329486717,2,60227.0,18632.0,0.825060606060606,2.67,0.45207299051920236,3.2324495491627308,17,48,2.2324495491627308,v0.4_research_candidate,weak
035420,NAVER,2022-10-31,2014-05-26,2022-10-31,102,8.43,True,False,465000.0,1.7433628318584071,0.1814404432132964,3,465000.0,104000.0,1.7433628318584071,1.25,0.635483870967742,4.471153846153846,35,48,3.4711538461538463,v0.4_research_candidate,weak
004170,신세계,2024-08-31,2014-05-26,2024-08-30,124,10.26,True,True,333500.0,1.2144754316069057,0.06060606060606061,3,333500.0,138800.0,1.2144754316069057,4.58,0.5484257871064467,2.402737752161383,25,0,1.4027377521613833,v0.4_research_candidate,weak
017670,SK텔레콤,2023-12-31,2014-05-26,2023-12-28,116,9.59,True,False,63100.0,0.25948103792415167,0.6264904467748886,4,63100.0,28295.0,0.25948103792415167,2.0,0.20602218700475436,2.2300759851563883,16,45,1.230075985156388,v0.4_research_candidate,base
030200,KT,2023-10-31,2014-05-26,2023-10-31,114,9.43,True,False,39300.0,0.20367534456355282,0.6984126984126984,8,39300.0,17250.0,0.20367534456355282,1.17,0.1692111959287532,2.2782608695652176,14,43,1.2782608695652173,v0.4_research_candidate,base
024110,기업은행,2023-11-30,2014-05-26,2023-11-30,115,9.51,True,False,15250.0,0.2890955198647506,0.6357827476038339,4,15250.0,5860.0,0.2890955198647506,4.91,0.2242622950819672,2.6023890784982937,17,44,1.6023890784982935,v0.4_research_candidate,base
028260,삼성물산,2023-10-31,2014-12-18,2023-10-31,107,8.87,True,False,160000.0,0.49953139643861294,0.3838150289017341,1,160000.0,73500.0,0.49953139643861294,2.75,0.333125,2.17687074829932,26,43,1.1768707482993197,v0.4_research_candidate,base
005940,NH투자증권,2023-10-31,2014-05-26,2023-10-31,114,9.43,True,False,15000.0,0.5495867768595041,0.38850574712643676,5,15000.0,6300.0,0.5495867768595041,4.34,0.3546666666666667,2.380952380952381,19,43,1.380952380952381,v0.4_research_candidate,base
271560,오리온,2024-08-31,2017-07-07,2024-08-30,86,7.15,True,False,164500.0,0.7880434782608695,0.13997627520759193,1,164500.0,80200.0,0.7880434782608695,4.0,0.44072948328267475,2.0511221945137157,28,29,1.0511221945137157,v0.4_research_candidate,base
068270,셀트리온,2023-09-30,2014-05-26,2023-09-27,113,9.34,True,False,328493.0,1.6912640608230447,0.06833772610752067,3,328493.0,106917.0,1.6912640608230447,2.75,0.6284273941910482,3.07241130970753,44,49,2.07241130970753,v0.4_research_candidate,base
000660,SK하이닉스,2023-05-31,2014-05-26,2023-05-31,109,9.01,True,False,150500.0,0.3858195211786372,0.5533049040511727,3,150500.0,56700.0,0.3858195211786372,2.17,0.27840531561461795,2.654320987654321,38,52,1.654320987654321,v0.4_research_candidate,transition
005830,DB손해보험,2023-06-30,2014-05-26,2023-06-30,110,9.1,True,False,87400.0,0.17158176943699732,0.7989002356637863,2,87400.0,23750.0,0.17158176943699732,0.17,0.14645308924485126,3.68,17,39,2.68,v0.4_research_candidate,transition
006260,LS,2022-10-31,2014-05-26,2022-10-31,102,8.43,True,False,92000.0,0.38345864661654133,0.6247240618101545,2,92000.0,24050.0,0.38345864661654133,4.42,0.27717391304347827,3.8253638253638256,22,31,2.8253638253638256,v0.4_research_candidate,transition
028050,삼성E&A,2021-03-31,2014-05-26,2021-03-31,83,6.85,True,False,20250.0,0.44642857142857145,0.5314842578710645,8,20250.0,6910.0,0.44642857142857145,2.83,0.30864197530864196,2.930535455861071,21,12,1.930535455861071,v0.4_research_candidate,transition
003230,삼양식품,2022-04-30,2014-05-26,2022-04-29,96,7.93,True,False,140000.0,0.4242115971515768,0.5589635113696457,3,140000.0,45450.0,0.4242115971515768,1.83,0.2978571428571429,3.08030803080308,23,57,2.08030803080308,v0.4_research_candidate,transition
035900,JYP Ent.,2020-07-31,2014-05-26,2020-07-31,75,6.18,True,False,39800.0,0.3333333333333333,0.7236878644820883,1,39800.0,3790.0,0.3333333333333333,1.75,0.25,10.50131926121372,32,59,9.50131926121372,v0.4_research_candidate,transition
055550,신한지주,2024-01-31,2014-05-26,2024-01-31,117,9.68,True,False,48000.0,0.17503059975520197,0.7265774378585086,5,48000.0,21850.0,0.17503059975520197,4.67,0.14895833333333333,2.196796338672769,12,46,1.196796338672769,v0.4_research_candidate,transition
000660,SK하이닉스,2023-11-30,2014-05-26,2023-11-30,115,9.51,True,False,150500.0,0.1239731142643764,0.8230277185501066,3,150500.0,56700.0,0.1239731142643764,2.67,0.11029900332225914,2.654320987654321,32,58,1.654320987654321,v0.4_research_candidate,early_trend
005850,에스엘,2023-04-30,2014-05-26,2023-04-28,108,8.92,True,False,41150.0,0.32741935483870965,0.7006341247603598,1,41150.0,7245.0,0.32741935483870965,0.58,0.24665856622114216,5.679779158040027,31,37,4.679779158040027,v0.4_research_candidate,early_trend
005830,DB손해보험,2023-12-31,2014-05-26,2023-12-28,116,9.59,True,False,94500.0,0.12903225806451613,0.8473498233215547,4,94500.0,23750.0,0.12903225806451613,0.25,0.11428571428571428,3.9789473684210526,20,45,2.9789473684210526,v0.4_research_candidate,early_trend
006260,LS,2023-02-28,2014-05-26,2023-02-28,106,8.76,True,False,92000.0,0.3649851632047478,0.6379690949227373,2,92000.0,24050.0,0.3649851632047478,4.75,0.2673913043478261,3.8253638253638256,22,35,2.8253638253638256,v0.4_research_candidate,early_trend
028050,삼성E&A,2021-06-30,2014-05-26,2021-06-30,86,7.1,True,False,28150.0,0.17782426778242677,0.7999058380414312,1,28150.0,6910.0,0.17782426778242677,0.0,0.15097690941385436,4.073806078147612,32,15,3.073806078147612,v0.4_research_candidate,early_trend
003230,삼양식품,2022-11-30,2014-05-26,2022-11-30,103,8.51,True,False,140000.0,0.2556053811659193,0.6928879310344828,3,140000.0,47200.0,0.2556053811659193,2.42,0.20357142857142857,2.9661016949152543,18,46,1.9661016949152543,v0.4_research_candidate,early_trend
272210,한화시스템,2024-03-31,2019-11-13,2024-03-29,53,4.38,False,False,20922.0,0.21852067559697147,0.775959873410163,6,20922.0,4175.0,0.21852067559697147,3.0,0.17933275977440016,5.01125748502994,13,48,4.01125748502994,v0.4_research_candidate,early_trend
000660,SK하이닉스,2024-06-30,2014-05-26,2024-06-28,122,10.09,True,True,243000.0,0.02748414376321353,0.9633182844243793,1,243000.0,65800.0,0.02748414376321353,0.0,0.026748971193415638,3.6930091185410334,53,51,2.6930091185410334,v0.4_research_candidate,progressed
003230,삼양식품,2024-06-30,2014-05-26,2024-06-28,122,10.09,True,True,718000.0,0.07324364723467862,0.9258025439127802,1,718000.0,57600.0,0.07324364723467862,0.0,0.06824512534818941,12.465277777777779,58,58,11.465277777777779,v0.4_research_candidate,progressed
086520,에코프로,2023-07-31,2014-05-26,2023-07-31,111,9.18,True,False,301957.0,0.27505932826052076,0.783019716395687,1,301957.0,1750.0,0.27505932826052076,0.0,0.21572276847365685,172.54685714285714,57,40,171.54685714285714,v0.4_research_candidate,progressed
086520,에코프로,2023-11-30,2014-05-26,2023-11-30,115,9.51,True,False,301957.0,1.0574884164622513,0.48303337363885585,1,301957.0,1750.0,1.0574884164622513,0.33,0.5139705322280987,172.54685714285714,54,44,171.54685714285714,v0.4_research_candidate,progressed
035900,JYP Ent.,2023-06-30,2014-05-26,2023-06-30,110,9.1,True,False,140600.0,0.07492354740061162,0.9218500797448166,1,140600.0,15200.0,0.07492354740061162,0.0,0.06970128022759602,9.25,53,39,8.25,v0.4_research_candidate,progressed
138040,메리츠금융지주,2024-08-31,2014-05-26,2024-08-30,124,10.26,True,True,96500.0,0.056955093099671415,0.9428194413899275,1,96500.0,5560.0,0.056955093099671415,0.0,0.0538860103626943,17.35611510791367,39,53,16.35611510791367,v0.4_research_candidate,progressed
006260,LS,2023-07-31,2014-05-26,2023-07-31,111,9.18,True,False,151300.0,0.25144747725392885,0.7611001964636542,1,151300.0,24050.0,0.25144747725392885,0.0,0.20092531394580304,6.291060291060291,54,40,5.291060291060291,v0.4_research_candidate,progressed
