ticker,name,snapshot_date,history_start_date,history_end_date,available_history_months,available_history_years,has_5y_coverage,resistance_5y,distance_to_resistance_5y,range_position_5y,resistance_touch_count_5y,high_5y,low_5y,distance_to_high_5y,years_since_5y_high,drawdown_from_5y_high,prior_expansion_ratio_5y,base_duration_months_5y,months_since_5y_low,range_width_5y,calculation_version,official_stage,manual_stage_fit
003100,선광,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,172000.0,7.9119170984455955,0.03250332636380916,1,172000.0,14170.0,7.9119170984455955,3.29,0.8877906976744186,12.138320395201129,50,19,11.138320395201129,v0.4_research_candidate,transition,MATCH
003800,에이스침대,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,67400.0,1.0706605222734256,0.20795454545454545,1,67400.0,23400.0,1.0706605222734256,4.95,0.5170623145400594,2.8803418803418803,49,23,1.8803418803418803,v0.4_research_candidate,transition,MATCH
004590,한국가구,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,8890.0,0.778,0.29783393501805056,3,8890.0,3350.0,0.778,4.29,0.437570303712036,2.653731343283582,45,23,1.653731343283582,v0.4_research_candidate,transition,MATCH
005670,푸드웰,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,11200.0,0.8666666666666667,0.2227204783258595,1,11200.0,4510.0,0.8666666666666667,4.87,0.4642857142857143,2.483370288248337,53,33,1.483370288248337,v0.4_research_candidate,transition,MATCH
007390,네이처셀,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,39350.0,0.7886363636363637,0.4656606097936557,2,39350.0,6880.0,0.7886363636363637,1.04,0.4409148665819568,5.719476744186046,38,33,4.719476744186046,v0.4_research_candidate,transition,MATCH
008370,원풍,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,9330.0,0.9498432601880877,0.19271758436944939,1,9330.0,3700.0,0.9498432601880877,4.87,0.4871382636655949,2.5216216216216214,58,19,1.5216216216216216,v0.4_research_candidate,transition,MATCH
013030,하이록코리아,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,48100.0,0.5221518987341772,0.5089285714285714,2,48100.0,14500.0,0.5221518987341772,0.21,0.34303534303534305,3.317241379310345,41,59,2.317241379310345,v0.4_research_candidate,transition,MATCH
017650,대림제지,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,14100.0,0.49206349206349204,0.41656210790464243,1,14100.0,6130.0,0.49206349206349204,4.95,0.32978723404255317,2.300163132137031,45,15,1.300163132137031,v0.4_research_candidate,transition,MATCH
017890,한국알콜,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,14750.0,0.09421364985163205,0.8265027322404371,7,14750.0,7430.0,0.09421364985163205,2.7,0.08610169491525424,1.9851951547779274,21,19,0.9851951547779273,v0.4_research_candidate,transition,MATCH
036190,금화피에스시,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,42500.0,0.32605304212168484,0.4641025641025641,3,42500.0,23000.0,0.32605304212168484,0.37,0.24588235294117647,1.8478260869565217,40,23,0.8478260869565217,v0.4_research_candidate,transition,MATCH
000050,경방,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,17750.0,1.1567436208991495,0.2112676056338028,2,17750.0,5680.0,1.1567436208991495,4.29,0.5363380281690141,3.125,39,20,2.125,v0.4_research_candidate,transition,MATCH
000370,한화손해보험,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,10800.0,0.9081272084805654,0.30727762803234504,1,10800.0,3380.0,0.9081272084805654,0.46,0.4759259259259259,3.195266272189349,57,56,2.195266272189349,v0.4_research_candidate,transition,MATCH
000850,화천기공,2026-08-14,2021-08-17,2026-08-14,60,4.99,True,45800.0,0.45396825396825397,0.3024390243902439,2,45800.0,25300.0,0.45396825396825397,3.21,0.31222707423580787,1.8102766798418972,37,23,0.8102766798418972,v0.4_research_candidate,transition,MATCH
