ticker,name,entry_signal_date,entry_execution_date,entry_open,baseline_exit_type,baseline_exit_date,baseline_terminal_return,julia_exit_type,julia_exit_date,julia_terminal_return,return_delta,julia_progressed,julia_mfe,julia_mae,paired_status
000120,000120,2026-01-30,2026-02-02,104800.0,LOSS_GUARD_CLOSE_LE_NEG_15,2026-05-20,-14.5,NO_PROGRESSED_BEFORE_CUTOFF,,-26.34,-11.84,False,46.95,-33.78,PAIRED
000150,000150,2022-11-25,2022-11-28,97300.0,LOSS_GUARD_CLOSE_LE_NEG_15,2022-12-28,-16.14,EXIT4_SCORE_DRAWDOWN_GE_15,2024-07-01,122.51,138.65,True,150.77,-25.9,PAIRED
000150,000150,2023-03-10,2023-03-13,107200.0,LOSS_GUARD_CLOSE_LE_NEG_15,2023-05-04,-14.83,,,,,False,3.92,-15.11,UNPAIRED_PATH_DIVERGED
000210,000210,2025-05-30,2025-06-02,43700.0,LOSS_GUARD_CLOSE_LE_NEG_15,2025-09-25,-15.9,NO_EXIT_BEFORE_CUTOFF,,18.76,34.660000000000004,True,77.8,-22.43,PAIRED
000210,000210,2026-02-27,2026-03-03,50000.0,LOSS_GUARD_CLOSE_LE_NEG_15,2026-03-05,-13.0,,,,,False,4.2,-19.8,UNPAIRED_PATH_DIVERGED
000210,000210,2026-03-27,2026-03-30,58500.0,LOSS_GUARD_CLOSE_LE_NEG_15,2026-06-09,-21.2,,,,,False,32.82,-22.48,UNPAIRED_PATH_DIVERGED
000430,000430,2026-06-05,2026-06-08,4630.0,LOSS_GUARD_CLOSE_LE_NEG_15,2026-06-25,-15.12,NO_PROGRESSED_BEFORE_CUTOFF,,-11.77,3.3499999999999996,False,33.91,-32.18,PAIRED
000440,000440,2026-02-20,2026-02-23,19160.0,LOSS_GUARD_CLOSE_LE_NEG_15,2026-06-04,-18.58,NO_PROGRESSED_BEFORE_CUTOFF,,-35.91,-17.33,False,98.33,-39.98,PAIRED
000490,000490,2025-02-14,2025-02-17,13280.0,LOSS_GUARD_CLOSE_LE_NEG_15,2025-03-24,-17.09,NO_PROGRESSED_BEFORE_CUTOFF,,-37.5,-20.41,False,4.22,-58.81,PAIRED
000540,000540,2025-06-13,2025-06-16,4500.0,LOSS_GUARD_CLOSE_LE_NEG_15,2025-10-20,-15.22,NO_PROGRESSED_BEFORE_CUTOFF,,-23.11,-7.889999999999999,False,66.22,-36.22,PAIRED
000640,000640,2024-08-16,2024-08-19,114819.0,LOSS_GUARD_CLOSE_LE_NEG_15,2024-12-05,-16.11,NO_PROGRESSED_BEFORE_CUTOFF,,-19.0,-2.8900000000000006,False,6.16,-35.12,PAIRED
000640,000640,2025-05-30,2025-06-02,109164.0,LOSS_GUARD_CLOSE_LE_NEG_15,2026-04-06,-15.27,,,,,False,11.65,-16.18,UNPAIRED_PATH_DIVERGED
000660,000660,2022-03-04,2022-03-07,119000.0,LOSS_GUARD_CLOSE_LE_NEG_15,2022-06-14,-18.57,EXIT4_SCORE_DRAWDOWN_GE_15,2024-05-02,42.02,60.59,True,60.84,-38.57,PAIRED
000670,000670,2025-11-14,2025-11-17,55064.0,LOSS_GUARD_CLOSE_LE_NEG_15,2026-01-05,-17.37,EXIT3_PROGRESSED_TO_WEAK,2026-08-03,-41.07,-23.7,True,30.39,-43.7,PAIRED
000700,000700,2026-02-20,2026-02-23,6520.0,LOSS_GUARD_CLOSE_LE_NEG_15,2026-05-28,-16.72,NO_PROGRESSED_BEFORE_CUTOFF,,-4.14,12.579999999999998,False,10.43,-23.31,PAIRED
