ticker,signal_reference_date,market_cap_value,source_type,proxy_method,anchor_date,anchor_age_days,anchor_market_cap,anchor_listed_shares,anchor_close,target_price_date,target_close,close_semantics,estimated_market_cap,market_cap_threshold,market_cap_status,near_threshold,confidence_class,posthoc_next_anchor_date,posthoc_next_anchor_shares,posthoc_share_change_flag,failure_reason
000070,2025-06-13,737383431115.8322,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,77,509574124500.0,,39704.0,2025-06-13,57454.0,ADJUSTED_CLOSE,737383431115.8322,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
000120,2026-01-30,2367921307200.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,217,1996080100000.0,,87500.0,2026-01-30,103800.0,ADJUSTED_CLOSE,2367921307200.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
000150,2022-11-25,1616031063000.0,ACTUAL_KRX,,2022-11-25,0,1616031063000.0,,,2022-11-25,,ADJUSTED_CLOSE,1616031063000.0,100000000000.0,PASS,False,OFFICIAL_AUTHORITATIVE,,,,
000150,2023-03-10,1779617029500.0,ACTUAL_KRX,,2023-03-10,0,1779617029500.0,,,2023-03-10,,ADJUSTED_CLOSE,1779617029500.0,100000000000.0,PASS,False,OFFICIAL_AUTHORITATIVE,,,,
000180,2025-09-05,120949274400.00002,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,70,110137776400.0,,7895.0,2025-09-05,8670.0,ADJUSTED_CLOSE,120949274400.00002,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,,,,
000210,2025-05-30,927297867000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,63,696783143000.0,,33250.0,2025-05-30,44250.0,ADJUSTED_CLOSE,927297867000.0,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
000210,2026-02-27,1083419202799.9999,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,245,945110368400.0,,45100.0,2026-02-27,51700.0,ADJUSTED_CLOSE,1083419202799.9999,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
000210,2026-03-27,1311838338400.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,273,945110368400.0,,45100.0,2026-03-27,62600.0,ADJUSTED_CLOSE,1311838338400.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
000230,2025-11-07,154987572000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,133,79051740000.0,,6850.0,2025-11-07,13430.0,ADJUSTED_CLOSE,154987572000.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
000240,2024-09-13,1689847272000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2024-07-12,63,1472445572400.0,,15510.0,2024-09-13,17800.0,ADJUSTED_CLOSE,1689847272000.0,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2024-09-27,,,
000270,2023-03-31,32834431107000.0,ACTUAL_KRX,,2023-03-31,0,32834431107000.0,,,2023-03-31,,ADJUSTED_CLOSE,32834431107000.0,100000000000.0,PASS,False,OFFICIAL_AUTHORITATIVE,,,,
000270,2025-10-24,45692585416800.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,119,38852616146400.0,,97700.0,2025-10-24,114900.0,ADJUSTED_CLOSE,45692585416800.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
000320,2024-10-11,184481175879.99997,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2024-09-27,14,178898892460.0,,13460.0,2024-10-11,13880.0,ADJUSTED_CLOSE,184481175879.99997,100000000000.0,PASS,False,HIGH_CONFIDENCE_PROXY,2024-12-27,,,
000370,2025-06-13,643231421650.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,77,471041522025.0,,4035.0,2025-06-13,5510.0,ADJUSTED_CLOSE,643231421650.0,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
000430,2026-06-05,295430000000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,343,229090000000.0,,3695.0,2026-06-05,4765.0,ADJUSTED_CLOSE,295430000000.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
000440,2026-02-20,127033451999.99998,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,238,104615784000.0,,16800.0,2026-02-20,20400.0,ADJUSTED_CLOSE,127033451999.99998,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
000490,2025-02-14,340509664640.00006,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-01-31,14,305894600840.0,,11930.0,2025-02-14,13280.0,ADJUSTED_CLOSE,340509664640.00006,100000000000.0,PASS,False,HIGH_CONFIDENCE_PROXY,2025-03-28,,,
000520,2024-09-13,272667751499.99997,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2024-07-12,63,181144389950.0,,8570.0,2024-09-13,12900.0,ADJUSTED_CLOSE,272667751499.99997,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2024-09-27,,,
000540,2025-06-13,284916130575.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-03-28,77,226134110400.0,,3520.0,2025-06-13,4435.0,ADJUSTED_CLOSE,284916130575.0,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,2025-06-27,,,
000590,2024-08-02,78158431400.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2024-07-12,21,80698291800.0,,69900.0,2024-08-02,67700.0,ADJUSTED_CLOSE,78158431400.0,100000000000.0,FAIL,False,HIGH_CONFIDENCE_PROXY,2024-09-27,,,
000590,2024-08-09,78620224200.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2024-07-12,28,80698291800.0,,69900.0,2024-08-09,68100.0,ADJUSTED_CLOSE,78620224200.0,100000000000.0,FAIL,False,HIGH_CONFIDENCE_PROXY,2024-09-27,,,
000590,2024-08-16,78966568800.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2024-07-12,35,80698291800.0,,69900.0,2024-08-16,68400.0,ADJUSTED_CLOSE,78966568800.0,100000000000.0,FAIL,False,HIGH_CONFIDENCE_PROXY,2024-09-27,,,
