ticker,name,strategy,entry_signal_date,entry_execution_date,entry_open,exit_date,exit_type,return,mfe,mae
000150,000150,BASELINE_V2,2023-03-10,2023-03-13,107200.0,2023-05-04,LOSS_GUARD_CLOSE_LE_NEG_15,-14.83,3.92,-15.11
000210,000210,BASELINE_V2,2026-02-27,2026-03-03,50000.0,2026-03-05,LOSS_GUARD_CLOSE_LE_NEG_15,-13.0,4.2,-19.8
000210,000210,BASELINE_V2,2026-03-27,2026-03-30,58500.0,2026-06-09,LOSS_GUARD_CLOSE_LE_NEG_15,-21.2,32.82,-22.48
000640,000640,BASELINE_V2,2025-05-30,2025-06-02,109164.0,2026-04-06,LOSS_GUARD_CLOSE_LE_NEG_15,-15.27,11.65,-16.18
000660,000660,BASELINE_V2,2023-06-02,2023-06-05,110100.0,2024-05-02,EXIT4_SCORE_DRAWDOWN_GE_15,53.5,73.84,-3.09
000670,000670,BASELINE_V2,2026-01-30,2026-02-02,59700.0,2026-08-03,EXIT3_PROGRESSED_TO_WEAK,-45.64,18.93,-48.07
000880,000880,BASELINE_V2,2024-02-02,2024-02-05,31100.0,2024-04-17,LOSS_GUARD_CLOSE_LE_NEG_15,-15.11,2.73,-16.08
000880,000880,BASELINE_V2,2025-02-14,2025-02-17,42450.0,2025-07-01,EXIT4_SCORE_DRAWDOWN_GE_15,137.69,145.23,-9.31
001040,001040,BASELINE_V2,2023-12-08,2023-12-11,99200.0,2024-08-01,EXIT4_SCORE_DRAWDOWN_GE_15,31.96,54.13,-14.72
001200,001200,BASELINE_V2,2026-02-13,2026-02-19,5160.0,2026-03-05,LOSS_GUARD_CLOSE_LE_NEG_15,-13.37,31.01,-21.41
001250,001250,BASELINE_V2,2024-09-13,2024-09-19,4145.0,2024-10-18,LOSS_GUARD_CLOSE_LE_NEG_15,-16.16,7.48,-17.13
001260,001260,BASELINE_V2,2026-04-10,2026-04-13,10250.0,2026-05-18,LOSS_GUARD_CLOSE_LE_NEG_15,-16.88,11.61,-16.98
001540,001540,BASELINE_V2,2026-05-15,2026-05-18,9950.0,,NO_PROGRESSED_BEFORE_CUTOFF,18.89,37.19,-6.93
002790,002790,BASELINE_V2,2026-02-13,2026-02-19,34700.0,2026-03-04,LOSS_GUARD_CLOSE_LE_NEG_15,-19.88,2.02,-19.88
002990,002990,BASELINE_V2,2026-03-13,2026-03-16,4985.0,2026-05-20,LOSS_GUARD_CLOSE_LE_NEG_15,-15.85,20.16,-16.35
003000,003000,BASELINE_V2,2026-03-20,2026-03-23,5750.0,2026-06-01,LOSS_GUARD_CLOSE_LE_NEG_15,-16.17,72.0,-16.7
003090,003090,BASELINE_V2,2026-02-13,2026-02-19,27250.0,2026-03-05,LOSS_GUARD_CLOSE_LE_NEG_15,-15.6,12.29,-20.37
003230,003230,BASELINE_V2,2022-12-23,2022-12-26,124500.0,2023-05-31,LOSS_GUARD_CLOSE_LE_NEG_15,-14.86,6.43,-15.74
003460,003460,BASELINE_V2,2026-02-13,2026-02-19,3880.0,2026-04-01,LOSS_GUARD_CLOSE_LE_NEG_15,-13.79,27.32,-15.72
003490,003490,BASELINE_V2,2025-07-18,2025-07-21,25800.0,2025-11-10,LOSS_GUARD_CLOSE_LE_NEG_15,-15.31,0.39,-16.47
003490,003490,BASELINE_V2,2026-02-27,2026-03-03,26100.0,,NO_PROGRESSED_BEFORE_CUTOFF,0.77,19.54,-15.71
003550,003550,BASELINE_V2,2024-02-02,2024-02-05,91000.0,2024-04-16,LOSS_GUARD_CLOSE_LE_NEG_15,-16.04,13.85,-16.48
003550,003550,BASELINE_V2,2026-01-23,2026-01-26,93700.0,,NO_EXIT_BEFORE_CUTOFF,28.07,98.4,-12.7
003720,003720,BASELINE_V2,2025-08-29,2025-09-01,5160.0,2026-05-04,EXIT4_SCORE_DRAWDOWN_GE_15,120.93,135.27,-15.41
004020,004020,BASELINE_V2,2026-02-20,2026-02-23,39150.0,2026-07-01,EXIT4_SCORE_DRAWDOWN_GE_15,-26.44,28.74,-34.61
004360,004360,BASELINE_V2,2026-03-20,2026-03-23,15480.0,2026-06-09,LOSS_GUARD_CLOSE_LE_NEG_15,-16.67,6.4,-17.12
004370,004370,BASELINE_V2,2022-12-02,2022-12-05,325000.0,2024-02-01,EXIT4_SCORE_DRAWDOWN_GE_15,15.54,53.85,-0.31
004370,004370,BASELINE_V2,2025-04-04,2025-04-07,387500.0,,NO_PROGRESSED_BEFORE_CUTOFF,12.9,49.42,-17.68
005490,005490,BASELINE_V2,2026-04-17,2026-04-20,386500.0,2026-06-24,LOSS_GUARD_CLOSE_LE_NEG_15,-16.69,40.23,-17.21
005850,005850,BASELINE_V2,2025-03-28,2025-03-31,38050.0,2025-04-08,LOSS_GUARD_CLOSE_LE_NEG_15,-16.03,2.37,-18.79
005850,005850,BASELINE_V2,2025-11-28,2025-12-01,41250.0,2026-06-01,EXIT4_SCORE_DRAWDOWN_GE_15,78.42,92.73,-3.27
005930,005930,BASELINE_V2,2025-08-29,2025-09-01,68400.0,,NO_EXIT_BEFORE_CUTOFF,301.32,447.51,-1.32
005960,005960,BASELINE_V2,2026-02-13,2026-02-19,8020.0,2026-05-04,EXIT4_SCORE_DRAWDOWN_GE_15,20.07,32.29,-10.22
006260,006260,BASELINE_V2,2022-08-12,2022-08-16,63000.0,2023-11-01,EXIT4_SCORE_DRAWDOWN_GE_15,24.29,140.16,-11.9
006280,006280,BASELINE_V2,2025-12-12,2025-12-15,159500.0,2026-05-12,LOSS_GUARD_CLOSE_LE_NEG_15,-15.55,15.24,-15.92
006360,006360,BASELINE_V2,2026-03-13,2026-03-16,23750.0,,NO_EXIT_BEFORE_CUTOFF,48.84,88.84,-12.0
007070,007070,BASELINE_V2,2026-08-07,2026-08-10,28000.0,,NO_PROGRESSED_BEFORE_CUTOFF,-1.07,5.89,-6.07
007160,007160,BASELINE_V2,2025-05-30,2025-06-02,50300.0,2026-06-09,LOSS_GUARD_CLOSE_LE_NEG_15,-17.5,44.93,-20.28
007690,007690,BASELINE_V2,2026-04-17,2026-04-20,43400.0,2026-05-19,LOSS_GUARD_CLOSE_LE_NEG_15,-15.32,2.42,-16.71
008930,008930,BASELINE_V2,2026-02-06,2026-02-09,47150.0,2026-03-05,LOSS_GUARD_CLOSE_LE_NEG_15,-20.57,17.71,-25.98
009270,009270,BASELINE_V2,2025-05-30,2025-06-02,1850.0,2025-07-29,LOSS_GUARD_CLOSE_LE_NEG_15,-14.22,10.0,-16.0
009270,009270,BASELINE_V2,2025-08-08,2025-08-11,1950.0,2025-09-09,LOSS_GUARD_CLOSE_LE_NEG_15,-15.85,11.28,-16.15
009830,009830,BASELINE_V2,2022-07-29,2022-08-01,51189.0,2023-05-04,LOSS_GUARD_CLOSE_LE_NEG_15,-16.16,28.51,-16.71
009830,009830,BASELINE_V2,2026-02-06,2026-02-09,39521.0,2026-06-01,EXIT4_SCORE_DRAWDOWN_GE_15,-2.03,41.53,-19.81
010620,010620,BASELINE_V2,2024-07-05,2024-07-08,92300.0,2025-03-04,EXIT4_SCORE_DRAWDOWN_GE_15,14.84,56.34,-0.33
010820,010820,BASELINE_V2,2025-09-12,2025-09-15,5030.0,2025-11-10,LOSS_GUARD_CLOSE_LE_NEG_15,-17.59,2.78,-18.49
010950,010950,BASELINE_V2,2025-10-31,2025-11-03,72700.0,2026-05-04,EXIT4_SCORE_DRAWDOWN_GE_15,82.26,143.6,-2.75
