ticker,name,market,trade_sequence,entry_signal_date,entry_execution_date,entry_open,julia_exit_type,julia_exit_date,julia_terminal_return,julia_mfe,julia_mae,baseline_exit_type,baseline_terminal_return,return_delta,baseline_caught_via_reentry
058610,에스피지,KOSDAQ,1,2025-01-31,2025-02-03,30500.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,391.8,443.28,-37.28,LOSS_GUARD_CLOSE_LE_NEG_15,-15.74,407.54,False
005930,삼성전자,KOSPI,1,2023-06-30,2023-07-03,72700.0,NO_EXIT_BEFORE_CUTOFF,,277.58,415.13,-31.36,LOSS_GUARD_CLOSE_LE_NEG_15,-16.78,294.36,False
000880,한화,KOSPI,1,2023-06-30,2023-07-03,30100.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-07-01,235.22,245.85,-28.57,LOSS_GUARD_CLOSE_LE_NEG_15,-16.45,251.67,False
019210,와이지-원,KOSDAQ,1,2025-06-27,2025-06-30,6030.0,NO_EXIT_BEFORE_CUTOFF,,201.99,372.64,-18.74,LOSS_GUARD_CLOSE_LE_NEG_15,-15.75,217.74,False
012330,현대모비스,KOSPI,1,2025-06-27,2025-06-30,291000.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-06-01,164.6,173.2,-4.12,EXIT4_SCORE_DRAWDOWN_GE_15,164.6,0.0,False
089970,브이엠,KOSDAQ,1,2025-03-28,2025-03-31,11200.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,156.25,200.89,-15.18,EXIT4_SCORE_DRAWDOWN_GE_15,156.25,0.0,False
032830,삼성생명,KOSPI,1,2022-12-23,2022-12-26,74000.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,154.05,170.27,-18.92,LOSS_GUARD_CLOSE_LE_NEG_15,-15.27,169.32,False
037460,삼지전자,KOSDAQ,1,2025-01-31,2025-02-03,9210.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,146.47,155.43,-5.65,EXIT4_SCORE_DRAWDOWN_GE_15,146.47,0.0,False
017960,한국카본,KOSPI,1,2025-01-31,2025-02-03,13630.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-09-01,146.15,146.15,-4.18,EXIT4_SCORE_DRAWDOWN_GE_15,146.15,0.0,False
028260,삼성물산,KOSPI,1,2023-12-22,2023-12-26,127600.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,135.5,143.73,-15.28,LOSS_GUARD_CLOSE_LE_NEG_15,-12.54,148.04,True
007660,이수페타시스,KOSPI,1,2025-06-27,2025-06-30,50000.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-11-03,127.8,137.0,-4.8,EXIT4_SCORE_DRAWDOWN_GE_15,127.8,0.0,False
004170,신세계,KOSPI,1,2025-06-27,2025-06-30,191500.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,120.89,133.94,-16.03,LOSS_GUARD_CLOSE_LE_NEG_15,-14.2,135.09,False
006800,미래에셋증권,KOSPI,1,2024-09-27,2024-09-30,8662.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-08-01,114.72,191.39,-8.97,EXIT4_SCORE_DRAWDOWN_GE_15,114.72,0.0,False
272210,한화시스템,KOSPI,1,2023-06-30,2023-07-03,14800.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-03-04,113.18,153.38,-22.09,LOSS_GUARD_CLOSE_LE_NEG_15,-15.2,128.38,False
003720,삼영,KOSPI,1,2024-09-27,2024-09-30,5450.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,109.17,122.75,-44.04,LOSS_GUARD_CLOSE_LE_NEG_15,-16.33,125.5,False
064760,티씨케이,KOSDAQ,1,2025-06-27,2025-06-30,105900.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,108.69,134.66,-14.64,EXIT4_SCORE_DRAWDOWN_GE_15,108.69,0.0,False
005830,DB손해보험,KOSPI,1,2022-12-23,2022-12-26,67500.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-06-01,107.7,217.04,-7.85,EXIT4_SCORE_DRAWDOWN_GE_15,107.7,0.0,False
024110,기업은행,KOSPI,1,2023-09-22,2023-09-25,11450.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,99.56,158.08,-4.37,EXIT4_SCORE_DRAWDOWN_GE_15,99.56,0.0,False
214150,클래시스,KOSDAQ,1,2022-12-23,2022-12-26,18650.0,EXIT4_SCORE_DRAWDOWN_GE_15,2023-10-04,98.93,125.2,-9.65,EXIT4_SCORE_DRAWDOWN_GE_15,98.93,0.0,False
108380,대양전기공업,KOSDAQ,1,2025-01-31,2025-02-03,14900.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-10-01,97.65,118.79,-3.22,EXIT4_SCORE_DRAWDOWN_GE_15,97.65,0.0,False
316140,우리금융지주,KOSPI,1,2024-03-29,2024-04-01,14450.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-01-02,94.46,102.42,-9.0,EXIT4_SCORE_DRAWDOWN_GE_15,94.46,0.0,False
005850,에스엘,KOSPI,1,2025-03-28,2025-03-31,38050.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-06-01,93.43,108.94,-23.52,LOSS_GUARD_CLOSE_LE_NEG_15,-16.03,109.46,False
005710,대원산업,KOSDAQ,1,2025-03-28,2025-03-31,7170.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-12-01,90.38,109.21,-5.02,EXIT4_SCORE_DRAWDOWN_GE_15,90.38,0.0,False
114810,한솔아이원스,KOSDAQ,1,2025-06-27,2025-06-30,9350.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,87.27,112.83,-13.05,EXIT4_SCORE_DRAWDOWN_GE_15,87.27,0.0,False
111770,영원무역,KOSPI,1,2025-03-28,2025-03-31,48050.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-12-01,84.18,100.62,-13.01,EXIT4_SCORE_DRAWDOWN_GE_15,84.18,0.0,False
102710,이엔에프테크놀로지,KOSDAQ,1,2025-03-28,2025-03-31,25200.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-12-01,82.94,153.97,-5.56,EXIT4_SCORE_DRAWDOWN_GE_15,82.94,0.0,False
008060,대덕,KOSPI,1,2024-12-27,2024-12-30,6620.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-03-03,79.76,103.17,-0.6,EXIT4_SCORE_DRAWDOWN_GE_15,79.76,0.0,False
011560,세보엠이씨,KOSDAQ,1,2025-06-27,2025-06-30,12630.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-06-01,78.94,112.59,-8.16,EXIT4_SCORE_DRAWDOWN_GE_15,78.94,0.0,False
004800,효성,KOSPI,1,2025-06-27,2025-06-30,75000.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-11-03,78.53,78.53,-11.07,EXIT4_SCORE_DRAWDOWN_GE_15,78.53,0.0,False
000810,삼성화재,KOSPI,1,2022-12-23,2022-12-26,215000.0,EXIT4_SCORE_DRAWDOWN_GE_15,2024-07-01,78.37,83.02,-11.4,EXIT4_SCORE_DRAWDOWN_GE_15,78.37,0.0,False
000240,한국앤컴퍼니,KOSPI,1,2024-09-27,2024-09-30,17100.0,EXIT3_PROGRESSED_TO_EARLY_TREND,2025-12-01,74.56,77.19,-21.87,EXIT3_PROGRESSED_TO_EARLY_TREND,74.56,0.0,False
127120,제이에스링크,KOSDAQ,1,2024-12-27,2024-12-30,5730.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-05-02,73.65,73.65,-12.74,EXIT4_SCORE_DRAWDOWN_GE_15,73.65,0.0,False
001510,SK증권,KOSPI,1,2025-06-27,2025-06-30,1399.0,NO_EXIT_BEFORE_CUTOFF,,72.62,342.46,-12.87,NO_EXIT_BEFORE_CUTOFF,72.62,0.0,False
274090,켄코아에어로스페이스,KOSDAQ,1,2025-01-31,2025-02-03,14840.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-06-01,71.83,166.85,-35.24,LOSS_GUARD_CLOSE_LE_NEG_15,-16.85,88.68,False
352820,하이브,KOSPI,1,2025-01-31,2025-02-03,221500.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-03-03,70.88,83.07,-5.42,EXIT4_SCORE_DRAWDOWN_GE_15,70.88,0.0,False
078930,GS,KOSPI,1,2024-03-29,2024-04-01,48700.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,69.2,72.48,-28.75,LOSS_GUARD_CLOSE_LE_NEG_15,-15.81,85.01,True
088350,한화생명,KOSPI,1,2025-06-27,2025-06-30,3335.0,NO_EXIT_BEFORE_CUTOFF,,68.82,126.69,-12.14,NO_EXIT_BEFORE_CUTOFF,68.82,0.0,False
122870,와이지엔터테인먼트,KOSDAQ,1,2025-03-28,2025-03-31,61100.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-09-01,68.25,79.71,-8.35,EXIT4_SCORE_DRAWDOWN_GE_15,68.25,0.0,False
105560,KB금융,KOSPI,1,2023-09-22,2023-09-25,57600.0,EXIT4_SCORE_DRAWDOWN_GE_15,2024-12-02,68.06,80.38,-15.1,EXIT4_SCORE_DRAWDOWN_GE_15,68.06,0.0,False
029460,케이씨,KOSPI,1,2025-06-27,2025-06-30,23650.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-05-04,67.44,81.82,-11.84,EXIT4_SCORE_DRAWDOWN_GE_15,67.44,0.0,False
145020,휴젤,KOSDAQ,1,2023-12-22,2023-12-26,148000.0,EXIT4_SCORE_DRAWDOWN_GE_15,2024-08-01,65.88,77.36,-3.04,EXIT4_SCORE_DRAWDOWN_GE_15,65.88,0.0,False
001800,오리온홀딩스,KOSPI,1,2024-09-27,2024-09-30,16330.0,NO_EXIT_BEFORE_CUTOFF,,64.12,83.4,-10.29,NO_EXIT_BEFORE_CUTOFF,64.12,0.0,False
034730,SK,KOSPI,1,2025-06-27,2025-06-30,198800.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,63.48,70.77,-11.02,EXIT4_SCORE_DRAWDOWN_GE_15,63.48,0.0,False
183300,코미코,KOSDAQ,1,2025-06-27,2025-06-30,37791.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,60.92,78.57,-20.22,LOSS_GUARD_CLOSE_LE_NEG_15,-17.39,78.31,False
003230,삼양식품,KOSPI,1,2022-12-23,2022-12-26,124500.0,EXIT4_SCORE_DRAWDOWN_GE_15,2023-10-04,60.48,66.67,-17.19,LOSS_GUARD_CLOSE_LE_NEG_15,-14.86,75.34,False
033780,KT&G,KOSPI,1,2024-09-27,2024-09-30,110400.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-08-03,59.06,74.28,-14.31,EXIT4_SCORE_DRAWDOWN_GE_15,59.06,0.0,False
095610,테스,KOSDAQ,1,2025-06-27,2025-06-30,25600.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-12-01,58.01,100.78,-9.18,EXIT4_SCORE_DRAWDOWN_GE_15,58.01,0.0,False
069960,현대백화점,KOSPI,1,2025-03-28,2025-03-31,60800.0,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,57.24,64.14,-11.51,EXIT4_SCORE_DRAWDOWN_GE_15,57.24,0.0,False
204620,글로벌텍스프리,KOSDAQ,1,2025-01-31,2025-02-03,3840.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-10-01,56.25,103.91,-1.43,EXIT4_SCORE_DRAWDOWN_GE_15,56.25,0.0,False
009970,영원무역홀딩스,KOSPI,1,2025-03-28,2025-03-31,90600.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-11-03,55.3,67.22,-8.72,EXIT4_SCORE_DRAWDOWN_GE_15,55.3,0.0,False
084110,휴온스글로벌,KOSDAQ,1,2024-09-27,2024-09-30,32550.0,EXIT4_SCORE_DRAWDOWN_GE_15,2025-05-02,53.92,62.83,-15.21,EXIT4_SCORE_DRAWDOWN_GE_15,53.92,0.0,False
