ticker,name,market,signal_reference_date,execution_candidate_date,pattern_a_stage,market_cap,avg_trading_value_20d,investability_status,market_cap_source_file,market_cap_sha256
000440,중앙에너비스,KOSDAQ,2026-02-20,2026-02-23,TRANSITION,,3840560832.0,DATA_UNAVAILABLE,,
001540,안국약품,KOSDAQ,2025-12-05,2025-12-08,TRANSITION,,483169081.5,DATA_UNAVAILABLE,,
001540,안국약품,KOSDAQ,2025-12-12,2025-12-15,TRANSITION,,489305139.0,DATA_UNAVAILABLE,,
001540,안국약품,KOSDAQ,2025-12-19,2025-12-22,TRANSITION,,490499654.0,DATA_UNAVAILABLE,,
001540,안국약품,KOSDAQ,2025-12-26,2025-12-29,TRANSITION,,538281324.75,DATA_UNAVAILABLE,,
001540,안국약품,KOSDAQ,2026-01-02,2026-01-05,TRANSITION,,453708429.75,DATA_UNAVAILABLE,,
001540,안국약품,KOSDAQ,2026-05-15,2026-05-18,TRANSITION,,2835876084.5,DATA_UNAVAILABLE,,
001540,안국약품,KOSDAQ,2026-05-22,2026-05-26,TRANSITION,,4645588900.0,DATA_UNAVAILABLE,,
001540,안국약품,KOSDAQ,2026-05-29,2026-06-01,EARLY_TREND,,7461424377.5,DATA_UNAVAILABLE,,
001540,안국약품,KOSDAQ,2026-07-24,2026-07-27,TRANSITION,,956366135.0,DATA_UNAVAILABLE,,
002230,피에스텍,KOSDAQ,2025-07-25,2025-07-28,TRANSITION,,51211563.95,DATA_UNAVAILABLE,,
002230,피에스텍,KOSDAQ,2025-08-01,2025-08-04,TRANSITION,,176729272.6,DATA_UNAVAILABLE,,
002230,피에스텍,KOSDAQ,2025-08-29,2025-09-01,EARLY_TREND,,122225334.15,DATA_UNAVAILABLE,,
002290,삼일기업공사,KOSDAQ,2025-12-05,2025-12-08,TRANSITION,,1153175457.5,DATA_UNAVAILABLE,,
003800,에이스침대,KOSDAQ,2025-06-27,2025-06-30,TRANSITION,326046000000.0,274031713.75,FILTERED_LIQUIDITY,artifacts/investability/history/source/krx_market_cap_20250627.csv,2ce977814ec85892eed7a4f3d4f8de7ad3ea6ee0119341c50595043eca4b2243
003800,에이스침대,KOSDAQ,2025-07-04,2025-07-07,TRANSITION,,283586083.75,DATA_UNAVAILABLE,,
003800,에이스침대,KOSDAQ,2025-07-11,2025-07-14,TRANSITION,,209812421.25,DATA_UNAVAILABLE,,
003800,에이스침대,KOSDAQ,2025-07-18,2025-07-21,TRANSITION,,228481408.75,DATA_UNAVAILABLE,,
003800,에이스침대,KOSDAQ,2026-02-27,2026-03-03,EARLY_TREND,,684288585.0,DATA_UNAVAILABLE,,
004590,한국가구,KOSDAQ,2025-08-08,2025-08-11,EARLY_TREND,,220679527.25,DATA_UNAVAILABLE,,
004590,한국가구,KOSDAQ,2026-05-08,2026-05-11,EARLY_TREND,,443407007.5,DATA_UNAVAILABLE,,
004780,대륙제관,KOSDAQ,2026-03-06,2026-03-09,TRANSITION,,199875890.65,DATA_UNAVAILABLE,,
004780,대륙제관,KOSDAQ,2026-04-17,2026-04-20,TRANSITION,,176277460.2,DATA_UNAVAILABLE,,
004780,대륙제관,KOSDAQ,2026-04-24,2026-04-27,TRANSITION,,201189117.15,DATA_UNAVAILABLE,,
004780,대륙제관,KOSDAQ,2026-05-08,2026-05-11,TRANSITION,,207983070.4,DATA_UNAVAILABLE,,
005290,동진쎄미켐,KOSDAQ,2025-10-10,2025-10-13,TRANSITION,,31523048051.25,DATA_UNAVAILABLE,,
005290,동진쎄미켐,KOSDAQ,2025-10-17,2025-10-20,TRANSITION,,28727342256.25,DATA_UNAVAILABLE,,
005290,동진쎄미켐,KOSDAQ,2025-10-24,2025-10-27,TRANSITION,,27040668257.5,DATA_UNAVAILABLE,,
005290,동진쎄미켐,KOSDAQ,2025-10-31,2025-11-03,EARLY_TREND,,24615754503.75,DATA_UNAVAILABLE,,
005670,푸드웰,KOSDAQ,2025-02-21,2025-02-24,TRANSITION,,714627578.5,DATA_UNAVAILABLE,,
005710,대원산업,KOSDAQ,2025-03-14,2025-03-17,TRANSITION,,1258097610.25,DATA_UNAVAILABLE,,
005710,대원산업,KOSDAQ,2025-03-21,2025-03-24,TRANSITION,,1316486721.25,DATA_UNAVAILABLE,,
005710,대원산업,KOSDAQ,2025-03-28,2025-03-31,TRANSITION,145873728000.0,1376267486.5,INVESTABLE,artifacts/investability/history/source/krx_market_cap_20250328.csv,3475f30c8b46faf16edb969b358a842bc4b248249a3e469f6276dbfbc9028813
005710,대원산업,KOSDAQ,2025-04-04,2025-04-07,EARLY_TREND,,437041743.0,DATA_UNAVAILABLE,,
005710,대원산업,KOSDAQ,2025-04-18,2025-04-21,EARLY_TREND,,214115875.25,DATA_UNAVAILABLE,,
005710,대원산업,KOSDAQ,2025-04-25,2025-04-28,EARLY_TREND,,218091231.5,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2025-04-04,2025-04-07,TRANSITION,,49646300.0,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2025-04-11,2025-04-14,TRANSITION,,52555054.0,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2025-04-18,2025-04-21,TRANSITION,,109809669.5,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2025-04-25,2025-04-28,TRANSITION,,149771411.5,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2025-05-02,2025-05-07,EARLY_TREND,,151573634.0,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2025-05-09,2025-05-12,EARLY_TREND,,157300724.0,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2025-05-16,2025-05-19,EARLY_TREND,,156378543.0,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2025-05-23,2025-05-26,EARLY_TREND,,81434630.25,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2025-08-01,2025-08-04,TRANSITION,,120399119.25,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2025-08-08,2025-08-11,TRANSITION,,153664801.5,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2025-08-22,2025-08-25,TRANSITION,,122012472.75,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2026-02-27,2026-03-03,TRANSITION,,89140496.5,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2026-03-20,2026-03-23,TRANSITION,,94840852.75,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2026-05-08,2026-05-11,TRANSITION,,49915910.0,DATA_UNAVAILABLE,,
005990,매일홀딩스,KOSDAQ,2026-05-22,2026-05-26,TRANSITION,,76158414.75,DATA_UNAVAILABLE,,
006050,국영지앤엠,KOSDAQ,2024-09-20,2024-09-23,TRANSITION,,1959036845.4,DATA_UNAVAILABLE,,
006050,국영지앤엠,KOSDAQ,2024-09-27,2024-09-30,TRANSITION,63160389830.0,1307486589.0,FILTERED_MARKET_CAP,artifacts/investability/history/source/krx_market_cap_20240927.csv,d3af764c0090af1ce642f0afaa8eb48f13197e1559ebef98adb438d4af9fa2c2
006050,국영지앤엠,KOSDAQ,2024-10-11,2024-10-14,EARLY_TREND,,1181584301.1,DATA_UNAVAILABLE,,
006050,국영지앤엠,KOSDAQ,2024-10-18,2024-10-21,EARLY_TREND,,1213713910.25,DATA_UNAVAILABLE,,
006050,국영지앤엠,KOSDAQ,2024-10-25,2024-10-28,EARLY_TREND,,893516033.3,DATA_UNAVAILABLE,,
006730,서부T&D,KOSDAQ,2025-05-30,2025-06-02,TRANSITION,,2219492839.25,DATA_UNAVAILABLE,,
006730,서부T&D,KOSDAQ,2025-06-13,2025-06-16,TRANSITION,,3974819802.5,DATA_UNAVAILABLE,,
006730,서부T&D,KOSDAQ,2025-06-20,2025-06-23,TRANSITION,,5135762426.0,DATA_UNAVAILABLE,,
006730,서부T&D,KOSDAQ,2025-06-27,2025-06-30,TRANSITION,578838383940.0,5200051354.5,INVESTABLE,artifacts/investability/history/source/krx_market_cap_20250627.csv,2ce977814ec85892eed7a4f3d4f8de7ad3ea6ee0119341c50595043eca4b2243
006730,서부T&D,KOSDAQ,2025-08-08,2025-08-11,EARLY_TREND,,6440276252.5,DATA_UNAVAILABLE,,
006730,서부T&D,KOSDAQ,2025-09-05,2025-09-08,EARLY_TREND,,6596556511.25,DATA_UNAVAILABLE,,
006730,서부T&D,KOSDAQ,2025-09-12,2025-09-15,EARLY_TREND,,6368672605.5,DATA_UNAVAILABLE,,
006910,보성파워텍,KOSDAQ,2025-08-22,2025-08-25,TRANSITION,,19828697554.55,DATA_UNAVAILABLE,,
006910,보성파워텍,KOSDAQ,2025-08-29,2025-09-01,TRANSITION,,26030738093.35,DATA_UNAVAILABLE,,
006910,보성파워텍,KOSDAQ,2025-09-12,2025-09-15,TRANSITION,,39695743080.4,DATA_UNAVAILABLE,,
006910,보성파워텍,KOSDAQ,2025-09-19,2025-09-22,TRANSITION,,43270329415.8,DATA_UNAVAILABLE,,
006910,보성파워텍,KOSDAQ,2025-10-10,2025-10-13,EARLY_TREND,,48583152084.15,DATA_UNAVAILABLE,,
006910,보성파워텍,KOSDAQ,2025-10-17,2025-10-20,EARLY_TREND,,45699256033.65,DATA_UNAVAILABLE,,
006910,보성파워텍,KOSDAQ,2025-10-24,2025-10-27,EARLY_TREND,,29693399688.85,DATA_UNAVAILABLE,,
006910,보성파워텍,KOSDAQ,2025-12-12,2025-12-15,EARLY_TREND,,10118780022.8,DATA_UNAVAILABLE,,
007330,푸른저축은행,KOSDAQ,2025-07-11,2025-07-14,TRANSITION,,1983335811.25,DATA_UNAVAILABLE,,
007330,푸른저축은행,KOSDAQ,2026-02-20,2026-02-23,TRANSITION,,3453046005.75,DATA_UNAVAILABLE,,
