ticker,name,market,baseline_trade_id,trade_sequence_base,entry_signal_date,entry_execution_date,entry_open,baseline_loss_guard_signal_date,baseline_exit_execution_date,baseline_exit_price,baseline_return,julia_trade_id,julia_exit_type,julia_exit_execution_date,julia_terminal_return,return_delta,julia_reached_progressed,julia_first_progressed_date,pair_status
018310,삼목에스폼,KOSDAQ,018310_01,1,2024-09-27,2024-09-30,26650.0,2024-10-24,2024-10-25,22500.0,-15.57,018310_01,NO_EXIT_BEFORE_CUTOFF,,-44.5,-28.93,True,2025-01-31,PAIRED_COMMON_ENTRY
019210,와이지-원,KOSDAQ,019210_01,1,2025-06-27,2025-06-30,6030.0,2025-09-26,2025-09-29,5080.0,-15.75,019210_01,NO_EXIT_BEFORE_CUTOFF,,201.99,217.74,True,2026-04-30,PAIRED_COMMON_ENTRY
023160,태광,KOSDAQ,023160_01,1,2025-01-31,2025-02-03,21850.0,2025-05-12,2025-05-13,18000.0,-17.62,023160_01,EXIT4_SCORE_DRAWDOWN_GE_15,2025-10-01,20.14,37.76,True,2025-05-31,PAIRED_COMMON_ENTRY
023600,삼보판지,KOSDAQ,023600_01,1,2025-06-27,2025-06-30,9970.0,2026-06-08,2026-06-09,8270.0,-17.05,023600_01,NO_PROGRESSED_BEFORE_CUTOFF,,-8.93,8.12,False,,PAIRED_COMMON_ENTRY
023910,대한약품,KOSDAQ,023910_01,1,2025-06-27,2025-06-30,29850.0,2026-06-08,2026-06-09,25200.0,-15.58,023910_01,NO_PROGRESSED_BEFORE_CUTOFF,,-10.55,5.03,False,,PAIRED_COMMON_ENTRY
035890,서희건설,KOSDAQ,035890_01,1,2024-09-27,2024-09-30,3046.0,2026-05-12,2026-05-13,2350.0,-22.85,035890_01,NO_PROGRESSED_BEFORE_CUTOFF,,-31.22,-8.37,False,,PAIRED_COMMON_ENTRY
036190,금화피에스시,KOSDAQ,036190_01,1,2025-06-27,2025-06-30,33650.0,2026-01-08,2026-01-09,28850.0,-14.26,036190_01,NO_PROGRESSED_BEFORE_CUTOFF,,1.78,16.04,False,,PAIRED_COMMON_ENTRY
039340,한국경제TV,KOSDAQ,039340_01,1,2024-12-27,2024-12-30,6210.0,2025-10-21,2025-10-22,5110.0,-17.71,039340_01,NO_PROGRESSED_BEFORE_CUTOFF,,-21.26,-3.55,False,,PAIRED_COMMON_ENTRY
053350,이니텍,KOSDAQ,053350_01,1,2025-03-28,2025-03-31,9970.0,2025-04-03,2025-04-04,8300.0,-16.75,053350_01,EXIT4_SCORE_DRAWDOWN_GE_15,2025-06-02,-11.53,5.22,True,2025-04-30,PAIRED_COMMON_ENTRY
054950,제이브이엠,KOSDAQ,054950_01,1,2025-06-27,2025-06-30,26000.0,2026-05-29,2026-06-01,21550.0,-17.12,054950_01,NO_PROGRESSED_BEFORE_CUTOFF,,-7.31,9.81,False,,PAIRED_COMMON_ENTRY
058610,에스피지,KOSDAQ,058610_01,1,2025-01-31,2025-02-03,30500.0,2025-02-28,2025-03-04,25700.0,-15.74,058610_01,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,391.8,407.54,True,2025-12-31,PAIRED_COMMON_ENTRY
090850,현대이지웰,KOSDAQ,090850_01,1,2025-06-27,2025-06-30,6550.0,2025-10-27,2025-10-28,5530.0,-15.57,090850_01,NO_PROGRESSED_BEFORE_CUTOFF,,-19.85,-4.28,False,,PAIRED_COMMON_ENTRY
096530,씨젠,KOSDAQ,096530_01,1,2025-06-27,2025-06-30,32900.0,2025-08-11,2025-08-12,27850.0,-15.35,096530_01,NO_PROGRESSED_BEFORE_CUTOFF,,-2.28,13.07,False,,PAIRED_COMMON_ENTRY
099430,바이오플러스,KOSDAQ,099430_01,1,2024-12-27,2024-12-30,7190.0,2025-08-19,2025-08-20,5980.0,-16.83,099430_01,NO_PROGRESSED_BEFORE_CUTOFF,,-49.17,-32.34,False,,PAIRED_COMMON_ENTRY
183300,코미코,KOSDAQ,183300_01,1,2025-06-27,2025-06-30,37791.0,2025-07-22,2025-07-23,31221.0,-17.39,183300_01,EXIT4_SCORE_DRAWDOWN_GE_15,2026-02-02,60.92,78.31,True,2025-11-30,PAIRED_COMMON_ENTRY
200670,휴메딕스,KOSDAQ,200670_01,1,2024-09-27,2024-09-30,34200.0,2024-11-11,2024-11-12,27900.0,-18.42,200670_01,EXIT3_PROGRESSED_TO_WEAK,2026-04-01,0.44,18.86,True,2025-08-31,PAIRED_COMMON_ENTRY
200670,휴메딕스,KOSDAQ,200670_02,2,2024-12-27,2024-12-30,42250.0,2025-01-23,2025-01-24,35600.0,-15.74,,,,,,,,UNPAIRED_STRATEGY_PATH_DIVERGENCE
