ticker,name,signal_reference_date,execution_candidate_date,pattern_a_stage
000440,중앙에너비스,2026-02-20,2026-02-23,TRANSITION
001540,안국약품,2025-12-05,2025-12-08,TRANSITION
001540,안국약품,2025-12-12,2025-12-15,TRANSITION
001540,안국약품,2025-12-19,2025-12-22,TRANSITION
001540,안국약품,2025-12-26,2025-12-29,TRANSITION
001540,안국약품,2026-01-02,2026-01-05,TRANSITION
001540,안국약품,2026-05-15,2026-05-18,TRANSITION
001540,안국약품,2026-05-22,2026-05-26,TRANSITION
001540,안국약품,2026-05-29,2026-06-01,EARLY_TREND
001540,안국약품,2026-07-24,2026-07-27,TRANSITION
002230,피에스텍,2025-07-25,2025-07-28,TRANSITION
002230,피에스텍,2025-08-01,2025-08-04,TRANSITION
002230,피에스텍,2025-08-29,2025-09-01,EARLY_TREND
002290,삼일기업공사,2025-12-05,2025-12-08,TRANSITION
003800,에이스침대,2025-06-27,2025-06-30,TRANSITION
003800,에이스침대,2025-07-04,2025-07-07,TRANSITION
003800,에이스침대,2025-07-11,2025-07-14,TRANSITION
003800,에이스침대,2025-07-18,2025-07-21,TRANSITION
003800,에이스침대,2026-02-27,2026-03-03,EARLY_TREND
004590,한국가구,2025-08-08,2025-08-11,EARLY_TREND
004590,한국가구,2026-05-08,2026-05-11,EARLY_TREND
004780,대륙제관,2026-03-06,2026-03-09,TRANSITION
004780,대륙제관,2026-04-17,2026-04-20,TRANSITION
004780,대륙제관,2026-04-24,2026-04-27,TRANSITION
004780,대륙제관,2026-05-08,2026-05-11,TRANSITION
005290,동진쎄미켐,2025-10-10,2025-10-13,TRANSITION
005290,동진쎄미켐,2025-10-17,2025-10-20,TRANSITION
005290,동진쎄미켐,2025-10-24,2025-10-27,TRANSITION
005290,동진쎄미켐,2025-10-31,2025-11-03,EARLY_TREND
005670,푸드웰,2025-02-21,2025-02-24,TRANSITION
005710,대원산업,2025-03-14,2025-03-17,TRANSITION
005710,대원산업,2025-03-21,2025-03-24,TRANSITION
005710,대원산업,2025-03-28,2025-03-31,TRANSITION
005710,대원산업,2025-04-04,2025-04-07,EARLY_TREND
005710,대원산업,2025-04-18,2025-04-21,EARLY_TREND
005710,대원산업,2025-04-25,2025-04-28,EARLY_TREND
005990,매일홀딩스,2025-04-04,2025-04-07,TRANSITION
005990,매일홀딩스,2025-04-11,2025-04-14,TRANSITION
005990,매일홀딩스,2025-04-18,2025-04-21,TRANSITION
005990,매일홀딩스,2025-04-25,2025-04-28,TRANSITION
005990,매일홀딩스,2025-05-02,2025-05-07,EARLY_TREND
005990,매일홀딩스,2025-05-09,2025-05-12,EARLY_TREND
005990,매일홀딩스,2025-05-16,2025-05-19,EARLY_TREND
005990,매일홀딩스,2025-05-23,2025-05-26,EARLY_TREND
005990,매일홀딩스,2025-08-01,2025-08-04,TRANSITION
005990,매일홀딩스,2025-08-08,2025-08-11,TRANSITION
005990,매일홀딩스,2025-08-22,2025-08-25,TRANSITION
005990,매일홀딩스,2026-02-27,2026-03-03,TRANSITION
005990,매일홀딩스,2026-03-20,2026-03-23,TRANSITION
005990,매일홀딩스,2026-05-08,2026-05-11,TRANSITION
005990,매일홀딩스,2026-05-22,2026-05-26,TRANSITION
006050,국영지앤엠,2024-09-20,2024-09-23,TRANSITION
006050,국영지앤엠,2024-09-27,2024-09-30,TRANSITION
006050,국영지앤엠,2024-10-11,2024-10-14,EARLY_TREND
006050,국영지앤엠,2024-10-18,2024-10-21,EARLY_TREND
006050,국영지앤엠,2024-10-25,2024-10-28,EARLY_TREND
006730,서부T&D,2025-05-30,2025-06-02,TRANSITION
006730,서부T&D,2025-06-13,2025-06-16,TRANSITION
006730,서부T&D,2025-06-20,2025-06-23,TRANSITION
006730,서부T&D,2025-06-27,2025-06-30,TRANSITION
