Metric,A FAST Core V2 (2022+ PIT),Julia V00 (2022+ PIT),Delta (Julia - Base)
Total Trades,157.0,152.0,-5.0
Unique Tickers,152.0,152.0,0.0
First Entries,152.0,152.0,0.0
Reentries,5.0,0.0,-5.0
Reentered Tickers,4.0,0.0,-4.0
Open at Cutoff,29.0,68.0,39.0
Closed Trades,128.0,84.0,-44.0
Mean Return (%),21.11,37.35,16.24
Median Return (%),6.21,22.79,16.58
P10 Return (%),-17.066,-22.07,-5.0
P25 Return (%),-15.6,-2.9425,12.66
P50 Return (%),6.21,22.785,16.57
P75 Return (%),49.88,68.1075,18.23
P90 Return (%),83.436,108.59100000000001,25.16
P95 Return (%),101.1879999999999,146.294,45.11
Positive Count,84.0,110.0,
Positive Rate (%),54.14,72.37,18.23
<= -15% Count,52.0,23.0,-29.0
<= -15% Rate (%),33.12,15.13,-17.99
<= -20% Count,5.0,19.0,14.0
<= -20% Rate (%),3.18,12.5,9.32
<= -30% Count,2.0,11.0,9.0
<= -30% Rate (%),1.27,7.24,5.97
<= -40% Count,1.0,6.0,5.0
<= -40% Rate (%),0.64,3.95,3.31
<= -50% Count,1.0,3.0,2.0
<= -50% Rate (%),0.64,1.97,1.33
>= +20% Count,63.0,79.0,16.0
>= +20% Rate (%),40.13,51.97,11.84
>= +50% Count,39.0,51.0,12.0
>= +50% Rate (%),24.84,33.55,8.71
>= +100% Count,8.0,17.0,9.0
>= +100% Rate (%),5.1,11.18,6.08
>= +200% Count,0.0,4.0,4.0
>= +200% Rate (%),0.0,2.63,2.63
Mean Ticker Cumulative Return (%),21.6,37.35,15.75
Median Ticker Cumulative Return (%),7.72,22.79,15.07
Positive Ticker Rate (%),55.92,72.37,16.45
