ticker,name,market,trade_sequence,entry_signal_date,entry_execution_date,entry_open,julia_exit_type,julia_exit_date,julia_terminal_return,julia_mae,baseline_exit_type,baseline_terminal_return,return_delta
058970,엠로,KOSDAQ,1,2025-02-07,2025-02-10,80100.0,NO_PROGRESSED_BEFORE_CUTOFF,,-79.03,-85.14,LOSS_GUARD_CLOSE_LE_NEG_15,-15.73,-63.3
334970,프레스티지바이오로직스,KOSDAQ,1,2024-08-09,2024-08-12,5780.0,NO_EXIT_BEFORE_CUTOFF,,-65.5,-71.45,LOSS_GUARD_CLOSE_LE_NEG_15,-21.45,-44.05
114840,아이패밀리에스씨,KOSDAQ,1,2025-08-29,2025-09-01,26050.0,NO_PROGRESSED_BEFORE_CUTOFF,,-64.3,-76.35,LOSS_GUARD_CLOSE_LE_NEG_15,-15.74,-48.56
011690,와이투솔루션,KOSPI,1,2026-02-27,2026-03-03,7910.0,EXIT3_PROGRESSED_TO_WEAK,2026-08-03,-62.71,-69.66,LOSS_GUARD_CLOSE_LE_NEG_15,-8.98,-53.73
251370,와이엠티,KOSDAQ,1,2025-09-19,2025-09-22,17940.0,EXIT3_PROGRESSED_TO_WEAK,2026-08-03,-58.7,-65.44,LOSS_GUARD_CLOSE_LE_NEG_15,-14.83,-43.87
216080,제테마,KOSDAQ,1,2024-10-18,2024-10-21,10006.0,NO_PROGRESSED_BEFORE_CUTOFF,,-57.38,-62.02,LOSS_GUARD_CLOSE_LE_NEG_15,-18.41,-38.97
008730,율촌화학,KOSPI,1,2025-02-14,2025-02-17,34200.0,NO_PROGRESSED_BEFORE_CUTOFF,,-55.88,-67.4,LOSS_GUARD_CLOSE_LE_NEG_15,-15.64,-40.24
035760,CJ ENM,KOSDAQ,1,2025-06-20,2025-06-23,77800.0,NO_PROGRESSED_BEFORE_CUTOFF,,-55.78,-63.88,LOSS_GUARD_CLOSE_LE_NEG_15,-16.84,-38.94
256840,한국비엔씨,KOSDAQ,1,2025-05-30,2025-06-02,5940.0,NO_PROGRESSED_BEFORE_CUTOFF,,-54.71,-65.49,LOSS_GUARD_CLOSE_LE_NEG_15,-17.0,-37.71
194480,데브시스터즈,KOSDAQ,1,2025-05-30,2025-06-02,40650.0,NO_PROGRESSED_BEFORE_CUTOFF,,-51.66,-67.77,LOSS_GUARD_CLOSE_LE_NEG_15,-16.85,-34.81
099430,바이오플러스,KOSDAQ,1,2024-12-13,2024-12-16,7450.0,NO_PROGRESSED_BEFORE_CUTOFF,,-50.94,-58.86,LOSS_GUARD_CLOSE_LE_NEG_15,-15.3,-35.64
041190,우리기술투자,KOSDAQ,1,2025-06-13,2025-06-16,9820.0,NO_PROGRESSED_BEFORE_CUTOFF,,-49.95,-62.07,LOSS_GUARD_CLOSE_LE_NEG_15,-11.51,-38.44
381970,케이카,KOSPI,1,2025-07-04,2025-07-07,15450.0,NO_PROGRESSED_BEFORE_CUTOFF,,-49.77,-55.79,LOSS_GUARD_CLOSE_LE_NEG_15,-23.75,-26.02
003030,세아제강지주,KOSPI,1,2025-01-24,2025-01-31,215000.0,NO_PROGRESSED_BEFORE_CUTOFF,,-49.77,-56.09,LOSS_GUARD_CLOSE_LE_NEG_15,-18.14,-31.63
220260,켐트로스,KOSDAQ,1,2026-01-02,2026-01-05,8130.0,NO_PROGRESSED_BEFORE_CUTOFF,,-49.75,-67.65,LOSS_GUARD_CLOSE_LE_NEG_15,-18.33,-31.42
129920,대성하이텍,KOSDAQ,1,2026-03-20,2026-03-23,9980.0,EXIT3_PROGRESSED_TO_WEAK,2026-07-01,-49.4,-59.27,EXIT3_PROGRESSED_TO_WEAK,-49.4,0.0
097950,CJ제일제당,KOSPI,1,2024-08-02,2024-08-05,361000.0,NO_PROGRESSED_BEFORE_CUTOFF,,-48.64,-52.19,LOSS_GUARD_CLOSE_LE_NEG_15,-16.48,-32.16
170900,동아에스티,KOSPI,1,2024-10-18,2024-10-21,74933.0,NO_PROGRESSED_BEFORE_CUTOFF,,-48.62,-57.83,LOSS_GUARD_CLOSE_LE_NEG_15,-17.35,-31.27
176750,듀켐바이오,KOSDAQ,1,2026-02-20,2026-02-23,12510.0,NO_PROGRESSED_BEFORE_CUTOFF,,-47.4,-59.23,LOSS_GUARD_CLOSE_LE_NEG_15,-16.07,-31.33
362320,청담글로벌,KOSDAQ,1,2025-08-08,2025-08-11,9720.0,NO_PROGRESSED_BEFORE_CUTOFF,,-46.6,-66.15,LOSS_GUARD_CLOSE_LE_NEG_15,-15.84,-30.76
073010,케이에스피,KOSDAQ,1,2025-08-08,2025-08-11,5700.0,NO_PROGRESSED_BEFORE_CUTOFF,,-44.47,-64.04,LOSS_GUARD_CLOSE_LE_NEG_15,-14.74,-29.73
017810,풀무원,KOSPI,1,2025-02-28,2025-03-04,17420.0,NO_PROGRESSED_BEFORE_CUTOFF,,-43.74,-53.5,LOSS_GUARD_CLOSE_LE_NEG_15,-15.33,-28.41
251270,넷마블,KOSPI,1,2025-09-19,2025-09-22,68000.0,NO_PROGRESSED_BEFORE_CUTOFF,,-42.5,-49.71,LOSS_GUARD_CLOSE_LE_NEG_15,-16.32,-26.18
114090,GKL,KOSPI,1,2025-07-04,2025-07-07,16300.0,NO_PROGRESSED_BEFORE_CUTOFF,,-42.33,-44.85,LOSS_GUARD_CLOSE_LE_NEG_15,-17.18,-25.15
003670,포스코퓨처엠,KOSPI,1,2026-05-08,2026-05-11,290000.0,NO_PROGRESSED_BEFORE_CUTOFF,,-41.21,-60.45,LOSS_GUARD_CLOSE_LE_NEG_15,-19.83,-21.38
000670,영풍,KOSPI,1,2025-11-14,2025-11-17,55064.0,EXIT3_PROGRESSED_TO_WEAK,2026-08-03,-41.07,-43.7,LOSS_GUARD_CLOSE_LE_NEG_15,-17.37,-23.7
053800,안랩,KOSDAQ,1,2025-04-04,2025-04-07,98000.0,NO_PROGRESSED_BEFORE_CUTOFF,,-39.49,-48.16,LOSS_GUARD_CLOSE_LE_NEG_15,-16.94,-22.55
089980,상아프론테크,KOSDAQ,1,2026-04-17,2026-04-20,24900.0,NO_PROGRESSED_BEFORE_CUTOFF,,-39.44,-57.43,LOSS_GUARD_CLOSE_LE_NEG_15,-18.47,-20.97
137400,피엔티,KOSDAQ,1,2026-02-20,2026-02-23,54500.0,NO_PROGRESSED_BEFORE_CUTOFF,,-39.27,-57.8,LOSS_GUARD_CLOSE_LE_NEG_15,-16.88,-22.39
037070,파세코,KOSDAQ,1,2026-04-17,2026-04-20,9200.0,NO_PROGRESSED_BEFORE_CUTOFF,,-38.15,-45.76,LOSS_GUARD_CLOSE_LE_NEG_15,-20.0,-18.15
